branch_id,branch_name,travel_minutes,catchment_area_km2,observed_competitor_count,observed_direct_competitor_count,observed_adjacent_competitor_count,observed_competitor_density_per_km2,observed_direct_density_per_km2,rated_competitor_count,competitor_rating_mean,competitor_rating_median,competitor_rating_weighted_by_reviews,competitor_total_reviews,competitor_data_scope,catchment_data_scope
37,Al Ain,5,19.189,30,26,4,1.5634,1.3549,25,4.112,4.4,4.5781,5652,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
37,Al Ain,10,108.6525,75,68,7,0.6903,0.6258,68,4.275,4.4,4.5271,9905,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
37,Al Ain,15,261.882,79,72,7,0.3017,0.2749,71,4.2775,4.4,4.5266,9977,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
30,Al Barsha,5,15.3575,105,62,43,6.8371,4.0371,103,4.465,4.5,4.6403,51892,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
30,Al Barsha,10,93.2974,358,230,128,3.8372,2.4652,317,4.5218,4.7,4.604,145146,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
30,Al Barsha,15,233.8045,584,382,202,2.4978,1.6338,534,4.5446,4.7,4.6603,331213,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
46,Al Dhafra Branch,5,21.3044,20,20,0,0.9388,0.9388,20,4.055,4.0,4.251,363,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
46,Al Dhafra Branch,10,69.9281,29,26,3,0.4147,0.3718,27,4.1111,4.0,4.2465,404,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
46,Al Dhafra Branch,15,145.9349,29,26,3,0.1987,0.1782,27,4.1111,4.0,4.2465,404,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
39,Al Falah,5,8.6416,16,15,1,1.8515,1.7358,14,4.2,4.2,4.0951,1085,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
