branch_id,branch_name,travel_minutes,catchment_area_km2,shared_with_any_bedashing_area_km2,self_overlap_pct,unique_coverage_area_km2,unique_coverage_pct,catchment_data_scope
37,Al Ain,5,19.189,0.0,0.0,19.189,100.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
37,Al Ain,10,108.6525,0.0,0.0,108.6525,100.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
37,Al Ain,15,261.882,0.0,0.0,261.882,100.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
30,Al Barsha,5,15.3575,0.0,0.0,15.3575,100.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
30,Al Barsha,10,93.2974,14.0176,15.0247,79.2797,84.9753,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
30,Al Barsha,15,233.8045,201.1628,86.0389,32.6417,13.9611,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
46,Al Dhafra Branch,5,21.3044,0.0,0.0,21.3044,100.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
46,Al Dhafra Branch,10,69.9281,0.0,0.0,69.9281,100.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
46,Al Dhafra Branch,15,145.9349,0.0,0.0,145.9349,100.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
39,Al Falah,5,8.6416,0.0,0.0,8.6416,100.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
39,Al Falah,10,34.8696,0.0,0.0,34.8696,100.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
39,Al Falah,15,108.097,45.7478,42.3211,62.3492,57.6789,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
50,Al Jada,5,7.3439,0.0,0.0,7.3439,100.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
50,Al Jada,10,65.9891,53.6827,81.3508,12.3064,18.6492,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
50,Al Jada,15,217.9479,213.2124,97.8272,4.7355,2.1728,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
45,Al Maqta,5,13.2935,2.4687,18.5706,10.8248,81.4293,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
45,Al Maqta,10,67.0417,63.8179,95.1914,3.2238,4.8086,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
45,Al Maqta,15,222.8768,222.3299,99.7546,0.5469,0.2454,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
51,Al Taif Mall,5,14.8058,0.0,0.0,14.8058,100.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
51,Al Taif Mall,10,59.8072,0.0,0.0,59.8072,100.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
51,Al Taif Mall,15,139.6888,0.0,0.0,139.6888,100.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
36,Baniyas,5,11.8167,0.0,0.0,11.8167,100.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
36,Baniyas,10,102.2855,53.8304,52.6276,48.4551,47.3724,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
36,Baniyas,15,339.7174,254.4272,74.8938,85.2903,25.1062,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
