travel_minutes,branch_a_id,branch_a_name,branch_b_id,branch_b_name,branch_a_area_km2,branch_b_area_km2,intersection_area_km2,overlap_pct_of_branch_a,overlap_pct_of_branch_b,jaccard_overlap_pct,catchment_data_scope
5,37,Al Ain,46,Al Dhafra Branch,19.189,21.3044,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,37,Al Ain,39,Al Falah,19.189,8.6416,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,37,Al Ain,50,Al Jada,19.189,7.3439,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,37,Al Ain,45,Al Maqta,19.189,13.2935,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,37,Al Ain,51,Al Taif Mall,19.189,14.8058,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,37,Al Ain,38,Delma,19.189,28.8073,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,37,Al Ain,40,Khaleej Al Arabi,19.189,29.4027,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,37,Al Ain,41,Khalifa City A,19.189,9.1716,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,37,Al Ain,43,Ministries Complex,19.189,8.3253,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,37,Al Ain,44,Mohammed Bin Zayed City,19.189,16.2684,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,37,Al Ain,52,Noya Plaza,19.189,4.2488,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,37,Al Ain,48,Ras Al Khaimah,19.189,16.9396,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,37,Al Ain,42,Shakhbout City,19.189,30.6618,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,37,Al Ain,49,Zawaya Walk,19.189,21.0575,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,37,Al Ain,47,Zayed International Airport,19.189,2.8633,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,30,Al Barsha,37,Al Ain,15.3575,19.189,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,30,Al Barsha,46,Al Dhafra Branch,15.3575,21.3044,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,30,Al Barsha,39,Al Falah,15.3575,8.6416,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,30,Al Barsha,50,Al Jada,15.3575,7.3439,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,30,Al Barsha,45,Al Maqta,15.3575,13.2935,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,30,Al Barsha,51,Al Taif Mall,15.3575,14.8058,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,30,Al Barsha,36,Baniyas,15.3575,11.8167,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,30,Al Barsha,38,Delma,15.3575,28.8073,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,30,Al Barsha,32,Jumeirah Park,15.3575,9.9646,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,30,Al Barsha,40,Khaleej Al Arabi,15.3575,29.4027,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,30,Al Barsha,41,Khalifa City A,15.3575,9.1716,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,30,Al Barsha,43,Ministries Complex,15.3575,8.3253,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,30,Al Barsha,44,Mohammed Bin Zayed City,15.3575,16.2684,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,30,Al Barsha,31,Nad Al Sheba,15.3575,14.124,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,30,Al Barsha,52,Noya Plaza,15.3575,4.2488,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,30,Al Barsha,48,Ras Al Khaimah,15.3575,16.9396,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,30,Al Barsha,35,Shahama,15.3575,11.986,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,30,Al Barsha,42,Shakhbout City,15.3575,30.6618,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,30,Al Barsha,34,Westyas Branch,15.3575,8.7625,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,30,Al Barsha,49,Zawaya Walk,15.3575,21.0575,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,30,Al Barsha,47,Zayed International Airport,15.3575,2.8633,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,46,Al Dhafra Branch,50,Al Jada,21.3044,7.3439,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,46,Al Dhafra Branch,51,Al Taif Mall,21.3044,14.8058,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,46,Al Dhafra Branch,52,Noya Plaza,21.3044,4.2488,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,46,Al Dhafra Branch,48,Ras Al Khaimah,21.3044,16.9396,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,46,Al Dhafra Branch,49,Zawaya Walk,21.3044,21.0575,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,46,Al Dhafra Branch,47,Zayed International Airport,21.3044,2.8633,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,39,Al Falah,46,Al Dhafra Branch,8.6416,21.3044,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,39,Al Falah,50,Al Jada,8.6416,7.3439,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,39,Al Falah,45,Al Maqta,8.6416,13.2935,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
5,39,Al Falah,51,Al Taif Mall,8.6416,14.8058,0.0,0.0,0.0,0.0,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
