branch_id,branch_name,branch_google_place_id,branch_rating,branch_review_count,travel_minutes,catchment_area_km2,observed_competitor_count,observed_direct_competitor_count,observed_adjacent_competitor_count,observed_competitor_density_per_km2,observed_direct_density_per_km2,rated_competitor_count,competitor_rating_mean,competitor_rating_median,competitor_rating_weighted_by_reviews,competitor_total_reviews,competitor_data_scope,catchment_data_scope,shared_with_any_bedashing_area_km2,self_overlap_pct,unique_coverage_area_km2,unique_coverage_pct,branch_rating_gap_vs_competitor_mean,branch_rating_gap_vs_competitor_weighted,analysis_status
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,4.7,1325,10,108.6525,75,68,7,0.6903,0.6258,68,4.275,4.4,4.5271,9905,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based,0.0,0.0,108.6525,100.0,0.425,0.1729,COMPLETE
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,4.6,742,10,93.2974,358,230,128,3.8372,2.4652,317,4.5218,4.7,4.604,145146,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based,14.0176,15.0247,79.2797,84.9753,0.0782,-0.004,COMPLETE
46,Al Dhafra Branch,ChIJNxX7ddBnZz4RvodXaYBSH6Q,4.5,358,10,69.9281,29,26,3,0.4147,0.3718,27,4.1111,4.0,4.2465,404,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based,0.0,0.0,69.9281,100.0,0.3889,0.2535,COMPLETE
39,Al Falah,ChIJhST-PqhLXj4R4Ns1HCNIcjA,4.6,948,10,34.8696,39,37,2,1.1185,1.0611,35,4.2029,4.3,4.2132,2911,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based,0.0,0.0,34.8696,100.0,0.3971,0.3868,COMPLETE
50,Al Jada,ChIJYcoAMNNfXz4RhygkXYRIdZk,4.5,613,10,65.9891,186,172,14,2.8186,2.6065,172,4.3762,4.6,4.5075,25910,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based,53.6827,81.3508,12.3064,18.6492,0.1238,-0.0075,COMPLETE
45,Al Maqta,ChIJIcgTO9ZDXj4RbWXJ_yrpjuM,4.6,1288,10,67.0417,164,100,64,2.4462,1.4916,137,4.5131,4.6,4.5109,19941,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based,63.8179,95.1914,3.2238,4.8086,0.0869,0.0891,COMPLETE
51,Al Taif Mall,ChIJ0ePl4Sz59D4RPDea70PHVSs,4.7,495,10,59.8072,163,130,33,2.7254,2.1737,146,4.2356,4.3,4.5348,10941,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based,0.0,0.0,59.8072,100.0,0.4644,0.1652,COMPLETE
36,Baniyas,ChIJ5ch6Hag3Xj4RlU_4s1p7o8s,4.6,693,10,102.2855,87,66,21,0.8506,0.6453,74,4.1986,4.35,4.2857,11624,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based,53.8304,52.6276,48.4551,47.3724,0.4014,0.3143,COMPLETE
28,City Walk,ChIJgarf82RCXz4Rk5W7_Oh9ZCM,4.6,855,10,63.3815,90,58,32,1.42,0.9151,90,4.5978,4.65,4.6946,149415,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based,4.4547,7.0284,58.9268,92.9716,0.0022,-0.0946,COMPLETE
38,Delma,ChIJ_Vu7UilmXj4R0AsGTzHwkaU,4.6,671,10,92.5493,212,144,68,2.2907,1.5559,202,4.4782,4.6,4.6182,112223,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based,81.4715,88.0304,11.0778,11.9696,0.1218,-0.0182,COMPLETE
32,Jumeirah Park,ChIJ-0P7Jf1tXz4Rje7-0YFcM3Q,4.8,440,10,56.2511,120,85,35,2.1333,1.5111,113,4.5929,4.7,4.642,45970,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based,9.6612,17.1751,46.5899,82.8249,0.2071,0.158,COMPLETE
40,Khaleej Al Arabi,ChIJ7Q7KjQNmXj4ROEhXBTwMTWk,4.6,1737,10,81.6967,205,144,61,2.5093,1.7626,200,4.4825,4.6,4.6285,111341,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based,74.8252,91.589,6.8715,8.411,0.1175,-0.0285,COMPLETE
41,Khalifa City A,ChIJew69Lv1FXj4RjK59U-COz1k,4.5,2453,10,56.4222,101,73,28,1.7901,1.2938,91,4.5341,4.6,4.5301,25019,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based,29.2703,51.8772,27.1519,48.1228,-0.0341,-0.0301,COMPLETE
43,Ministries Complex,ChIJRfTVvZVDXj4RZZRKmMGM9cs,4.9,1214,10,70.6779,185,113,72,2.6175,1.5988,160,4.5069,4.6,4.5702,25039,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based,67.1758,95.045,3.5021,4.955,0.3931,0.3298,COMPLETE
29,Mirdif 35,ChIJJym1WZlgXz4RDU-v4mRhckE,4.5,817,10,81.3171,91,66,25,1.1191,0.8116,82,4.428,4.5,4.5907,26577,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based,6.8361,8.4067,74.481,91.5933,0.072,-0.0907,COMPLETE
44,Mohammed Bin Zayed City,ChIJ1acVeH1HXj4RSli59C2hk2k,4.4,831,10,84.3407,116,88,28,1.3754,1.0434,107,4.4056,4.6,4.5697,15187,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based,34.1908,40.5389,50.1499,59.4611,-0.0056,-0.1697,COMPLETE
31,Nad Al Sheba,ChIJR6DuRulnXz4RsewBFpNYmzQ,4.6,627,10,69.8739,76,52,24,1.0877,0.7442,71,4.4915,4.6,4.6244,15326,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based,5.0917,7.2871,64.7821,92.7129,0.1085,-0.0244,COMPLETE
52,Noya Plaza,ChIJ8ZtA3AhPXj4R9bv4hORDLjI,4.7,209,10,27.6288,36,23,13,1.303,0.8325,29,4.4621,4.7,4.6034,7993,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based,25.3677,91.8162,2.2611,8.1838,0.2379,0.0966,COMPLETE
48,Ras Al Khaimah,ChIJSU1oGll19j4RCktPt_Pr5o0,4.6,769,10,82.1295,104,73,31,1.2663,0.8888,100,4.279,4.35,4.3543,13588,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based,0.0,0.0,82.1295,100.0,0.321,0.2457,COMPLETE
35,Shahama,ChIJh9wAonFPXj4R6P2_rlevv90,4.6,746,10,61.6852,60,55,5,0.9727,0.8916,55,4.16,4.2,4.257,2533,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based,6.7492,10.9414,54.936,89.0586,0.44,0.343,COMPLETE
42,Shakhbout City,ChIJDbcz2A9tXz4RnqvVPtIP15c,4.5,1267,10,129.9432,92,70,22,0.708,0.5387,79,4.1987,4.3,4.3087,17670,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based,53.4143,41.1059,76.5289,58.8941,0.3013,0.1913,COMPLETE
34,Westyas Branch,ChIJURfcOI9FXj4RQMm5phqBgY8,4.6,727,10,40.4379,62,38,24,1.5332,0.9397,50,4.478,4.6,4.7207,44316,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based,26.9903,66.745,13.4476,33.255,0.122,-0.1207,COMPLETE
49,Zawaya Walk,ChIJNY29cDNZXz4RT5H-KSCWfCo,4.7,601,10,114.6085,245,212,33,2.1377,1.8498,228,4.3855,4.5,4.5257,41827,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based,55.3343,48.2811,59.2742,51.7189,0.3145,0.1743,COMPLETE
47,Zayed International Airport,ChIJD4c_XalPXj4RdqRn4Ir54qU,4.9,534,10,26.9405,39,27,12,1.4476,1.0022,37,4.5216,4.7,4.7308,40822,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based,26.3747,97.8997,0.5658,2.1003,0.3784,0.1692,COMPLETE
