branch_id,branch_name,travel_minutes,competitor_place_id,competitor_name,competitor_tier,competitor_rating,competitor_review_count,competitor_latitude,competitor_longitude,relationship_method,competitor_data_scope
37,Al Ain,5,ChIJzQADgQ-zij4R4zEDCBluHu8,Kristal beauty salon,ADJACENT,,,24.2382931,55.6974669,competitor point covered by destination drive-time polygon,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census
37,Al Ain,5,ChIJAVs5Tluxij4Rr9CuPi7hmPI,Lunar wellness spa,ADJACENT,4.1,27.0,24.2218377,55.6942223,competitor point covered by destination drive-time polygon,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census
37,Al Ain,5,ChIJQ4TtbD2xij4RCMMnJhlNJ5o,The Muse UAE Boutique Spa Al Ain,ADJACENT,4.8,1341.0,24.220337,55.6939992,competitor point covered by destination drive-time polygon,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census
37,Al Ain,5,ChIJgWJT_Pqtij4RZQmHlcShzKc,إليجانت بيوتي لونج للسيدات,ADJACENT,4.4,21.0,24.2267401,55.6603039,competitor point covered by destination drive-time polygon,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census
37,Al Ain,5,ChIJBeU6eomzij4RQI0dC_6vJyM,Al jimi mall Brush and Blush Beauty Parlour,DIRECT,3.9,158.0,24.2145111,55.672177700000006,competitor point covered by destination drive-time polygon,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census
37,Al Ain,5,ChIJzzbywhyyij4RijXShawdh7I,Amro Ladies Salon,DIRECT,4.6,448.0,24.2276847,55.6815978,competitor point covered by destination drive-time polygon,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census
37,Al Ain,5,ChIJFSNK1MOzij4RQf8QpfrN95E,Base beauty and spa,DIRECT,4.0,130.0,24.2211019,55.6960058,competitor point covered by destination drive-time polygon,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census
37,Al Ain,5,ChIJJd_Y08Kxij4R755rwM1pNxY,Brush and Blush Beauty Parlour Al Markhaniyyah,DIRECT,4.5,242.0,24.2147546,55.6738294,competitor point covered by destination drive-time polygon,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census
37,Al Ain,5,ChIJ7S7Bhpetij4RMJrRBcMy2X4,Ella Vera Spa Lounge,DIRECT,4.9,355.0,24.2180914,55.6402674,competitor point covered by destination drive-time polygon,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census
37,Al Ain,5,ChIJuUBGT9mtij4RX6VbfPTF0gU,HANA ROYAL BEAUTY SALON,DIRECT,3.3,3.0,24.2180534,55.6405857,competitor point covered by destination drive-time polygon,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census
37,Al Ain,5,ChIJzVM6DwCtij4RkvOo_mxu4bw,History Beauty Center مركز التاريخ للتجميل,DIRECT,4.4,7.0,24.2283529,55.6676808,competitor point covered by destination drive-time polygon,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census
37,Al Ain,5,ChIJMcqDKaKtij4RP-EC5vE9v8E,La Poupee Beauty Center - AL AIN,DIRECT,4.7,388.0,24.2244724,55.6530285,competitor point covered by destination drive-time polygon,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census
37,Al Ain,5,ChIJqatRyVqtij4RZZjneBXxA_Y,MAISON DU GLAMOUR LADIES BEAUTY SALON,DIRECT,3.8,25.0,24.2206031,55.640762,competitor point covered by destination drive-time polygon,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census
37,Al Ain,5,ChIJWUyAG3Gzij4RhQBnPkdegb4,Miss elegant,DIRECT,,,24.2304481,55.6879885,competitor point covered by destination drive-time polygon,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census
37,Al Ain,5,ChIJ6Vqaz22zij4RXNfJYsXsWJA,Most glam ladies salon,DIRECT,3.7,15.0,24.239085100000004,55.6961703,competitor point covered by destination drive-time polygon,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census
37,Al Ain,5,ChIJMU5vP36xij4R7f2yKKT8OOw,MÉLANGE BEAUTÉ,DIRECT,4.7,43.0,24.2217804,55.6940068,competitor point covered by destination drive-time polygon,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census
37,Al Ain,5,ChIJz2y9eACxij4RsbndWqEjBRc,Need Spa & Dalkah House,DIRECT,4.0,29.0,24.2204194,55.6941554,competitor point covered by destination drive-time polygon,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census
37,Al Ain,5,ChIJp9ytd6ixij4RjF79c_A7Clk,OCEAN BEAUTY CENTER- Alkhabisi (main branch),DIRECT,4.6,895.0,24.2190032,55.6873735,competitor point covered by destination drive-time polygon,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census
37,Al Ain,5,ChIJLXJNyeatij4RT2-2Q09JYw4,Oriental Beauty Lounge - Al Ain City,DIRECT,4.5,254.0,24.221936,55.6504443,competitor point covered by destination drive-time polygon,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census
37,Al Ain,5,ChIJV70DgtGzij4RRh6_4hZV550,Rapunzel spa,DIRECT,4.3,88.0,24.2218061,55.6940991,competitor point covered by destination drive-time polygon,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census
