cluster_id,grow_cell_count,estimated_population_2025,max_opportunity_score,mean_opportunity_score,centroid_latitude,centroid_longitude,market_anchor_name,market_anchor_address,best_h3_cell
GROW-022,395,2951089.92,92.48,79.15,25.208354,55.386252,DoubleTree by Hilton Dubai M Square Hotel & Residences,Sheikh Khalifa Bin Zayed St - Mankhool - Dubai,8743acd99ffffff
GROW-005,10,32637.84,86.87,77.54,24.532656,54.414883,BE RELAX SPA - L.L.C,250 Al Meena St - Al Zahiyah - E14 - Abu Dhabi,8743a0353ffffff
GROW-116,108,334488.45,86.51,76.69,25.767257,55.972257,purple crystal massage,Ras Al-Khaimah - Al Nakheel - Ras Al Khaimah,8743acae0ffffff
GROW-112,24,177869.13,84.93,78.03,25.04605,56.340164,,,8743a8d0dffffff
GROW-111,35,194173.55,84.83,78.2,25.327955,56.348834,,,8743a8923ffffff
GROW-117,127,422940.58,84.38,76.41,25.30099,55.948844,,,8743ac09bffffff
GROW-006,4,12708.2,83.88,79.2,24.442521,54.512338,Massage Relax Olivia Lounge,CGCH+J94 - Khalifa City - SW17 - Abu Dhabi,8743a02ecffffff
GROW-122,12,61302.8,83.7,78.4,25.602038,56.274887,,,8743ac272ffffff
GROW-153,20,114041.32,83.69,79.67,24.821377,56.085995,,,8743aeae6ffffff
GROW-035,28,112130.41,83.46,76.26,24.374512,54.725866,OMBRÉ SALON صالون أومبري,9PVH+FP5 - Al Shamkhah - SH7 - Abu Dhabi,8743a3968ffffff
GROW-069,205,711083.29,83.35,76.58,24.178191,55.716445,,,8743ae50cffffff
GROW-128,11,30869.39,83.2,75.96,25.136099,55.877552,,,8743ac45affffff
GROW-099,35,131081.82,82.99,77.73,24.0991,52.704303,,,8743a691cffffff
GROW-130,38,111277.7,82.82,76.69,24.979731,55.813057,,,8743ac488ffffff
GROW-007,16,69206.92,82.58,77.83,24.323038,54.476941,,,8743a0288ffffff
GROW-030,50,135898.04,82.49,76.05,24.946241,55.440771,,,8743a12c8ffffff
GROW-097,6,19499.19,82.17,77.18,23.841973,53.636321,,,8743a62c4ffffff
GROW-029,100,245795.37,82.07,75.58,24.623123,54.775254,,,8743a1546ffffff
GROW-031,8,36645.22,81.78,77.6,25.11765,55.139578,,,8743a1328ffffff
GROW-101,7,22769.53,81.64,77.42,23.862777,52.80606,,,8743a6892ffffff
GROW-170,10,20203.86,81.46,74.68,24.064084,51.759629,,,87534d50dffffff
GROW-081,27,55020.11,81.36,74.45,24.223111,54.628347,,,8743a3919ffffff
GROW-093,4,13338.2,81.22,77.7,24.881114,53.073325,,,8743a406bffffff
GROW-044,13,24782.07,81.08,74.65,24.474978,55.331426,,,8743aed22ffffff
GROW-125,8,21823.05,81.07,76.94,25.522636,56.349574,,,8743ac2c5ffffff
GROW-144,12,24295.08,80.9,74.9,24.58502,55.749466,,,8743ae125ffffff
GROW-082,14,23785.89,80.49,73.98,24.20124,54.862007,,,8743a38edffffff
GROW-124,5,11440.71,80.18,75.82,25.399116,56.162957,,,8743ac2b2ffffff
GROW-016,10,22317.87,80.13,75.5,24.078417,53.478575,,,8743a636dffffff
GROW-171,6,15493.03,80.12,76.0,24.486347,52.316143,,,87534d86affffff
GROW-114,6,12607.41,79.94,75.69,24.959266,56.20753,,,8743aea4cffffff
GROW-088,20,41183.92,79.87,75.22,24.184137,55.050806,,,8743a3b82ffffff
GROW-147,11,17727.84,79.79,73.5,24.769525,55.786656,,,8743ae8e8ffffff
GROW-096,5,9233.59,79.7,74.33,23.736572,53.515193,,,8743a6286ffffff
GROW-149,20,32979.69,79.69,74.12,24.527561,55.574172,,,8743aed46ffffff
GROW-063,5,10825.3,79.63,73.76,23.65564,53.634728,,,8743a664dffffff
GROW-146,6,13617.26,79.49,75.27,24.707858,55.620292,,,8743ae802ffffff
GROW-118,12,21079.17,79.38,74.53,25.298362,55.755205,,,8743ac090ffffff
GROW-115,7,13169.66,79.27,74.85,25.546891,55.691535,,,8743ac108ffffff
GROW-151,8,16021.09,79.08,75.38,24.846521,55.568355,,,8743ae973ffffff
GROW-018,3,7470.58,78.81,76.56,24.112645,53.440626,,,8743a0d90ffffff
GROW-058,40,58735.95,78.78,73.98,23.145769,53.8051,,,8743a2c86ffffff
GROW-012,4,10042.44,78.77,77.07,23.914231,53.712246,,,8743a625bffffff
GROW-001,7,15948.39,78.7,75.87,23.415657,55.418994,,,874384a6effffff
GROW-048,3,6322.42,78.57,75.87,24.81789,55.237103,,,8743a174dffffff
GROW-132,3,5665.17,78.22,74.89,25.210831,55.735334,,,8743ac55bffffff
GROW-034,2,18818.78,78.06,75.55,25.166809,55.207829,Yinyang Connection Spa,Shop No 8 & 9 Al Ferdous 4 - Al Wasl Rd - Al Safa First - Dubai,8743a1362ffffff
GROW-079,7,9709.08,78.06,72.93,23.631344,55.552954,,,8743a36eaffffff
GROW-037,3,6569.37,78.03,76.45,24.456963,54.840293,,,8743a14a8ffffff
GROW-010,1,2968.65,78.01,78.01,24.005785,53.733628,,,8743a0514ffffff
GROW-103,4,9768.03,77.76,77.12,24.167183,52.582448,,,87534da5bffffff
GROW-138,1,3635.5,77.68,77.68,25.154136,56.247141,,,8743ac6c4ffffff
GROW-121,3,5067.76,77.37,74.77,25.55709,56.20549,,,8743ac202ffffff
GROW-039,4,11887.45,77.26,75.18,24.439699,54.663981,Chiang Mai Traditional Thai Massage,Al Matar - Zayed International Airport - Abu Dhabi,8743a1590ffffff
GROW-154,3,5393.53,77.23,75.41,24.942412,56.15889,,,8743aea45ffffff
GROW-021,2,3430.4,77.17,74.56,24.864646,54.906307,,,8743a101effffff
GROW-071,1,2292.3,76.93,76.93,24.112893,55.607304,,,8743a3241ffffff
GROW-098,2,3890.88,76.89,76.0,23.547919,53.302596,,,8743a6711ffffff
GROW-123,3,5613.02,76.82,75.69,25.472331,56.186181,,,8743ac2a1ffffff
GROW-110,2,2993.55,76.77,73.39,23.788034,52.574743,,,8743a6d2cffffff
GROW-032,1,20639.34,76.71,76.71,25.074443,55.16871,Naumi Hotel Dubai,Al Khareef 1st Street - شارع الشيخ زايد - الثنيه الأولى - Barsha Heights - دبي,8743a130effffff
GROW-014,1,2194.75,76.69,76.69,24.156686,54.426651,,,8743a0646ffffff
GROW-104,1,2192.7,76.68,76.68,24.172032,52.639428,,,8743a692dffffff
GROW-060,2,3006.43,76.66,73.61,23.647005,53.812315,,,8743a2822ffffff
GROW-140,1,2152.3,76.61,76.61,25.116096,55.964318,,,8743ac786ffffff
GROW-085,5,6365.2,76.51,73.05,24.313386,54.877463,,,8743a386bffffff
GROW-141,1,2029.63,76.33,76.33,25.084264,55.949156,,,8743ac794ffffff
GROW-159,2,3340.22,76.17,73.58,24.278338,55.6134,,,8743aec8dffffff
GROW-166,1,1976.05,76.17,76.17,24.134432,51.621471,,,87534c269ffffff
GROW-169,3,5358.97,76.12,75.64,23.969773,52.241654,,,87534d3a2ffffff
GROW-120,2,2812.79,76.07,73.57,25.612752,55.705871,,,8743ac171ffffff
GROW-076,5,5698.12,76.02,72.31,23.897948,55.393703,,,8743a32b4ffffff
GROW-013,1,1897.13,75.97,75.97,24.068546,54.323054,,,8743a0602ffffff
GROW-100,1,1877.6,75.93,75.93,24.087022,52.957127,,,8743a6858ffffff
GROW-155,1,1819.63,75.76,75.76,24.881913,56.169102,,,8743aea51ffffff
GROW-135,3,3502.38,75.74,72.42,25.169031,56.105114,,,8743ac615ffffff
GROW-017,1,1790.16,75.69,75.69,24.190571,53.776074,,,8743a0cceffffff
GROW-163,2,2818.67,75.55,73.93,24.287786,55.421426,,,8743aed82ffffff
GROW-168,3,3391.5,75.5,72.23,24.049245,52.438304,,,87534d376ffffff
GROW-040,2,2908.22,75.49,74.23,24.679303,55.171531,,,8743a1623ffffff
GROW-133,1,1710.06,75.4,75.4,25.283927,55.687295,,,8743ac56affffff
GROW-142,3,3805.57,75.36,73.28,25.097304,56.023428,,,8743ac798ffffff
GROW-056,1,1638.51,75.21,75.21,22.999251,54.214398,,,8743a24e0ffffff
GROW-053,4,4518.1,75.18,72.51,23.060082,54.089837,,,8743a2420ffffff
GROW-036,2,2387.41,75.15,72.59,24.413528,54.869293,,,8743a148effffff
GROW-148,6,7633.09,75.09,73.47,24.643329,55.682887,,,8743ae88dffffff
GROW-059,3,3342.89,75.02,72.38,22.920538,53.969381,,,8743a25b3ffffff
GROW-150,3,3708.09,74.94,73.18,24.899536,55.612942,,,8743ae941ffffff
GROW-020,2,2391.31,74.9,72.73,24.910213,54.919248,,,8743a100effffff
GROW-008,1,4983.63,74.88,74.88,24.462445,54.306336,InterContinental Abu Dhabi by IHG,King Abdullah Bin Abdulaziz Al Saud St - Al Bateen - W33 - Abu Dhabi,8743a031bffffff
GROW-158,1,1537.39,74.81,74.81,24.81202,56.201453,,,8743aeaeaffffff
GROW-062,1,1505.79,74.7,74.7,23.711339,53.69412,,,8743a2905ffffff
GROW-131,1,1501.32,74.66,74.66,25.05362,55.789541,,,8743ac4f5ffffff
GROW-011,1,1487.56,74.59,74.59,23.872723,53.840776,,,8743a0598ffffff
GROW-047,3,3144.65,74.52,71.96,24.586533,55.417128,,,8743a16ceffffff
GROW-095,3,3919.9,74.47,73.73,23.771908,53.555727,,,8743a62aaffffff
GROW-165,4,4446.94,74.43,72.33,23.106906,53.597601,,,8743b5acaffffff
GROW-164,1,1440.14,74.41,74.41,23.087359,53.762346,,,8743b5349ffffff
GROW-127,2,2316.76,74.4,72.75,25.13954,55.746085,,,8743ac40dffffff
GROW-143,1,1416.26,74.33,74.33,25.191285,56.013395,,,8743ac7a9ffffff
GROW-139,1,1401.44,74.24,74.24,25.194968,56.240295,,,8743ac6e1ffffff
GROW-083,2,4635.91,74.21,73.73,24.264634,54.715001,,,8743a3953ffffff
GROW-152,1,1376.14,74.13,74.13,24.91609,55.566949,,,8743ae963ffffff
GROW-077,5,4931.93,74.06,71.69,24.103606,55.390281,,,8743a3309ffffff
GROW-065,3,4929.56,73.99,73.33,23.547984,53.762276,,,8743a299dffffff
GROW-145,1,1331.1,73.89,73.89,24.21524,55.955096,,,8743ae462ffffff
GROW-051,1,1328.81,73.88,73.88,23.279614,54.238312,,,8743a20abffffff
GROW-129,1,1307.6,73.74,73.74,24.955674,55.703779,,,8743ac486ffffff
GROW-038,2,3433.81,73.7,73.56,24.474417,54.700293,Nailbox Beauty Salon,Abu Dhabi - Al Reef - Abu Dhabi,8743a1581ffffff
GROW-094,1,1291.57,73.66,73.66,25.145044,52.868317,,,8743a4b18ffffff
GROW-068,2,2350.49,73.61,72.94,24.005343,55.433117,,,8743a3233ffffff
GROW-057,2,2487.67,73.53,73.38,23.090858,54.028437,,,8743a250bffffff
