h3_cell,h3_resolution,centroid_latitude,centroid_longitude,cell_area_km2,estimated_population_2025,estimated_population_density_per_km2,bedashing_10min_covered_pct,coverage_gap_pct,nearest_branch_id,nearest_branch_name,nearest_branch_distance_km,observed_competitors_within_3km,observed_direct_competitors_within_3km,observed_adjacent_competitors_within_3km,observed_competitor_reviews_within_3km,observed_competitor_mean_rating_within_3km,market_anchor_name,market_anchor_address,population_score,coverage_gap_score,market_activity_score,competition_headroom_score,opportunity_score,recommendation,confidence_score,confidence_level,recommendation_explanation,population_data_scope,competitor_data_scope,catchment_data_scope
8743acd99ffffff,7,25.268386265037847,55.29789647608391,4.6829,21169.76,4520.69,0.0,100.0,28,City Walk,8.14,2,0,2,12273,4.75,DoubleTree by Hilton Dubai M Square Hotel & Residences,Sheikh Khalifa Bin Zayed St - Mankhool - Dubai,98.81038211968277,100.0,98.38680605623648,54.659336697909154,92.48,GROW,70,MEDIUM,"Strongest signals: coverage gap and population; main constraint: competition headroom. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins
8743acca6ffffff,7,25.2595858647953,55.320110958653345,4.683,22630.7,4832.49,0.6,99.4,28,City Walk,8.549,2,0,2,12273,4.75,DoubleTree by Hilton Dubai M Square Hotel & Residences,Sheikh Khalifa Bin Zayed St - Mankhool - Dubai,99.15284787310743,99.4,98.38680605623648,54.659336697909154,92.44,GROW,70,MEDIUM,"Strongest signals: coverage gap and population; main constraint: competition headroom. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins
8743acc50ffffff,7,25.404415263852222,55.479842529584346,4.7049,25174.5,5350.65,0.0,100.0,50,Al Jada,9.474,1,0,1,13,4.2,The Body Spa Ajman,Ajman sanaya - Ajman Industrial 2 - Ajman,99.56741167988464,100.0,90.89762076423936,54.659336697909154,91.66,GROW,70,MEDIUM,"Strongest signals: coverage gap and population; main constraint: competition headroom. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins
8743a1222ffffff,7,25.027842796162293,55.238846621929206,4.656,4739.17,1017.86,0.0,100.0,32,Jumeirah Park,7.449,3,0,3,226,4.3333,Reflections Russian Spa – Dubai Sports City,Sports City Stadium Point Building Office 101 & 112 - الحبيه الرابعة - مدينة دبي الرياضية - دبي,87.77937995674117,100.0,92.46575342465754,54.659336697909154,87.18,GROW,70,MEDIUM,"Strongest signals: coverage gap and market activity; main constraint: competition headroom. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins
8743a0353ffffff,7,24.5283275233625,54.37444944565229,4.5639,7916.46,1734.59,7.1,92.9,38,Delma,6.794,1,0,1,86,4.3,BE RELAX SPA - L.L.C,250 Al Meena St - Al Zahiyah - E14 - Abu Dhabi,92.62797404470079,92.9,91.68168709444845,54.659336697909154,86.87,GROW,70,MEDIUM,"Strongest signals: coverage gap and population; main constraint: competition headroom. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins
8743acae0ffffff,7,25.819956540128292,55.96786850194727,4.7686,4139.91,868.17,0.0,100.0,48,Ras Al Khaimah,8.998,1,0,1,73,3.9,purple crystal massage,Ras Al-Khaimah - Al Nakheel - Ras Al Khaimah,86.42754145638068,100.0,91.58255227108867,54.659336697909154,86.51,GROW,70,MEDIUM,"Strongest signals: coverage gap and market activity; main constraint: competition headroom. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins
8743accaeffffff,7,25.27388279971299,55.37938883596096,4.6872,25088.85,5352.57,0.0,100.0,29,Mirdif 35,7.1,29,16,13,8141,4.1034,"Ashtamudi Ladies Beauty Salon Al-Qusais, Best Salon and Beauty Parlour in Al-Qusais, Dubai",Obaidulla Building - S - 23 Damascus Street - Al Qusais - Al Qusais Industrial Area - Dubai,99.5493871665465,100.0,97.6027397260274,4.361932227829849,85.11,GROW,70,MEDIUM,"Strongest signals: coverage gap and population; main constraint: competition headroom. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins
8743acca1ffffff,7,25.28269452841499,55.357168631092094,4.6871,24646.72,5258.44,0.0,100.0,49,Zawaya Walk,9.013,17,9,8,3908,4.0882,Blush N Curls Ladies Salon & Spa - Al Qusais - Best Beauty Salon In Qusais - Dubai,Damascus Street - near Dubai Grand Hotel - Al Qusais - Dubai,99.44124008651767,100.0,96.10670511896178,5.921052631578947,85.08,GROW,70,MEDIUM,"Strongest signals: coverage gap and population; main constraint: competition headroom. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins
8743acc40ffffff,7,25.45682764009521,55.491150009093566,4.7107,28850.34,6124.46,0.0,100.0,49,Zawaya Walk,15.34,0,0,0,0,,,,99.9098774333093,100.0,45.33165104542177,54.659336697909154,84.96,GROW,70,MEDIUM,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins
8743a8d0dffffff,7,25.036670979737337,56.349420231374665,4.7079,27674.37,5878.23,0.0,100.0,51,Al Taif Mall,9.606,0,0,0,0,,,,99.83777937995674,100.0,45.33165104542177,54.659336697909154,84.93,GROW,70,MEDIUM,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins
