request_number,official_store_id,branch_name,search_type,depth,center_latitude,center_longitude,search_radius_meters,results_returned,api_limit_reached,subdivided,request_status,error
1,37,Al Ain,beauty_salon,1,24.204225720625224,55.63535272767554,3535.53,20.0,True,True,SUCCESS,
2,37,Al Ain,beauty_salon,1,24.249141279374776,55.63535272767554,3535.53,9.0,False,False,SUCCESS,
3,37,Al Ain,beauty_salon,1,24.204225720625224,55.684606072324456,3535.53,20.0,True,True,SUCCESS,
4,37,Al Ain,beauty_salon,1,24.249141279374776,55.684606072324456,3535.53,20.0,True,True,SUCCESS,
5,37,Al Ain,hair_salon,1,24.204225720625224,55.63535272767554,3535.53,12.0,False,False,SUCCESS,
6,37,Al Ain,hair_salon,1,24.249141279374776,55.63535272767554,3535.53,3.0,False,False,SUCCESS,
7,37,Al Ain,hair_salon,1,24.204225720625224,55.684606072324456,3535.53,16.0,False,False,SUCCESS,
8,37,Al Ain,hair_salon,1,24.249141279374776,55.684606072324456,3535.53,13.0,False,False,SUCCESS,
9,30,Al Barsha,beauty_salon,1,25.090687320625225,55.19080689475046,3535.53,20.0,True,True,SUCCESS,
10,30,Al Barsha,beauty_salon,1,25.135602879374776,55.19080689475046,3535.53,20.0,True,True,SUCCESS,
11,30,Al Barsha,beauty_salon,1,25.090687320625225,55.24041150524955,3535.53,20.0,True,True,SUCCESS,
12,30,Al Barsha,beauty_salon,1,25.135602879374776,55.24041150524955,3535.53,20.0,True,True,SUCCESS,
13,30,Al Barsha,hair_salon,1,25.090687320625225,55.19080689475046,3535.53,20.0,True,True,SUCCESS,
14,30,Al Barsha,hair_salon,1,25.135602879374776,55.19080689475046,3535.53,20.0,True,True,SUCCESS,
15,30,Al Barsha,hair_salon,1,25.090687320625225,55.24041150524955,3535.53,20.0,True,True,SUCCESS,
16,30,Al Barsha,hair_salon,1,25.135602879374776,55.24041150524955,3535.53,20.0,True,True,SUCCESS,
17,30,Al Barsha,nail_salon,1,25.090687320625225,55.19080689475046,3535.53,20.0,True,True,SUCCESS,
18,30,Al Barsha,nail_salon,1,25.135602879374776,55.19080689475046,3535.53,20.0,True,True,SUCCESS,
19,30,Al Barsha,nail_salon,1,25.090687320625225,55.24041150524955,3535.53,20.0,True,True,SUCCESS,
20,30,Al Barsha,nail_salon,1,25.135602879374776,55.24041150524955,3535.53,20.0,True,True,SUCCESS,
21,30,Al Barsha,spa,1,25.090687320625225,55.19080689475046,3535.53,20.0,True,True,SUCCESS,
22,30,Al Barsha,spa,1,25.135602879374776,55.19080689475046,3535.53,20.0,True,True,SUCCESS,
23,30,Al Barsha,spa,1,25.090687320625225,55.24041150524955,3535.53,20.0,True,True,SUCCESS,
24,30,Al Barsha,spa,1,25.135602879374776,55.24041150524955,3535.53,20.0,True,True,SUCCESS,
25,46,Al Dhafra Branch,beauty_salon,1,23.605594620625226,53.6896016320995,3535.53,13.0,False,False,SUCCESS,
26,46,Al Dhafra Branch,beauty_salon,1,23.650510179374777,53.6896016320995,3535.53,14.0,False,False,SUCCESS,
27,46,Al Dhafra Branch,beauty_salon,1,23.605594620625226,53.738627167900496,3535.53,6.0,False,False,SUCCESS,
28,46,Al Dhafra Branch,beauty_salon,1,23.650510179374777,53.738627167900496,3535.53,12.0,False,False,SUCCESS,
29,46,Al Dhafra Branch,hair_salon,1,23.605594620625226,53.6896016320995,3535.53,2.0,False,False,SUCCESS,
30,46,Al Dhafra Branch,hair_salon,1,23.650510179374777,53.6896016320995,3535.53,10.0,False,False,SUCCESS,
31,46,Al Dhafra Branch,hair_salon,1,23.605594620625226,53.738627167900496,3535.53,1.0,False,False,SUCCESS,
32,46,Al Dhafra Branch,hair_salon,1,23.650510179374777,53.738627167900496,3535.53,20.0,True,True,SUCCESS,
33,39,Al Falah,beauty_salon,1,24.420436120625226,54.71502866391973,3535.53,20.0,True,True,SUCCESS,
34,39,Al Falah,beauty_salon,1,24.465351679374777,54.71502866391973,3535.53,20.0,True,True,SUCCESS,
35,39,Al Falah,beauty_salon,1,24.420436120625226,54.76436613608026,3535.53,20.0,True,True,SUCCESS,
36,39,Al Falah,beauty_salon,1,24.465351679374777,54.76436613608026,3535.53,11.0,False,False,SUCCESS,
37,50,Al Jada,beauty_salon,1,25.296751820625225,55.455067053254865,3535.53,20.0,True,True,SUCCESS,
38,50,Al Jada,beauty_salon,1,25.341667379374776,55.455067053254865,3535.53,20.0,True,True,SUCCESS,
39,50,Al Jada,beauty_salon,1,25.296751820625225,55.50475574674513,3535.53,16.0,False,False,SUCCESS,
40,50,Al Jada,beauty_salon,1,25.341667379374776,55.50475574674513,3535.53,20.0,True,True,SUCCESS,
41,50,Al Jada,hair_salon,1,25.296751820625225,55.455067053254865,3535.53,20.0,True,True,SUCCESS,
42,50,Al Jada,hair_salon,1,25.341667379374776,55.455067053254865,3535.53,20.0,True,True,SUCCESS,
43,50,Al Jada,hair_salon,1,25.296751820625225,55.50475574674513,3535.53,6.0,False,False,SUCCESS,
44,50,Al Jada,hair_salon,1,25.341667379374776,55.50475574674513,3535.53,15.0,False,False,SUCCESS,
45,50,Al Jada,nail_salon,1,25.296751820625225,55.455067053254865,3535.53,20.0,True,True,SUCCESS,
46,50,Al Jada,nail_salon,1,25.341667379374776,55.455067053254865,3535.53,12.0,False,False,SUCCESS,
47,50,Al Jada,nail_salon,1,25.296751820625225,55.50475574674513,3535.53,3.0,False,False,SUCCESS,
48,50,Al Jada,nail_salon,1,25.341667379374776,55.50475574674513,3535.53,2.0,False,False,SUCCESS,
49,50,Al Jada,spa,1,25.296751820625225,55.455067053254865,3535.53,20.0,True,True,SUCCESS,
50,50,Al Jada,spa,1,25.341667379374776,55.455067053254865,3535.53,20.0,True,True,SUCCESS,
51,50,Al Jada,spa,1,25.296751820625225,55.50475574674513,3535.53,5.0,False,False,SUCCESS,
