official_store_id,branch_name,branch_google_place_id,branch_latitude,branch_longitude,competitor_place_id,competitor_name,competitor_tier,straight_line_distance_km,search_radius_km,source,retrieved_at
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJdYoDDmKtij4R1CnCBKUsNvI,فيروم سبا - Virum Spa,DIRECT,0.0193,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJgWJT_Pqtij4RZQmHlcShzKc,إليجانت بيوتي لونج للسيدات,ADJACENT,0.0335,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJMcqDKaKtij4RP-EC5vE9v8E,La Poupee Beauty Center - AL AIN,DIRECT,0.7465,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJx77OIACtij4RWaSVGi1r4L4,صالون سونا المرخانية sona salon,DIRECT,0.7966,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJzVM6DwCtij4RkvOo_mxu4bw,History Beauty Center مركز التاريخ للتجميل,DIRECT,0.8027,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJT9zKTQCtij4R9rasGY62a9s,صالون املوشي,DIRECT,1.0363,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJLXJNyeatij4RT2-2Q09JYw4,Oriental Beauty Lounge - Al Ain City,DIRECT,1.1016,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJJT6mDpGtij4RQ6hVVFR3VHY,Spa Alain,DIRECT,1.1078,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJSW3Wc6Cvij4RVqmVUXRIPfY,369 Beauty Ladies Center,DIRECT,1.671,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJUX0YRACzij4RNc56QEVDc20,نادي ريكوفري الصحي Recovery Health Club,DIRECT,1.6788,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJXReqYQKuij4RfM51Db0DhR0,Maison De Joelle Al Ain,DIRECT,1.7034,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJZ06Rl2evij4RKK5i-cGvy1I,"Zahraa Al Ward, Ladies Salon",DIRECT,1.8069,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJBeU6eomzij4RQI0dC_6vJyM,Al jimi mall Brush and Blush Beauty Parlour,DIRECT,1.8336,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJJd_Y08Kxij4R755rwM1pNxY,Brush and Blush Beauty Parlour Al Markhaniyyah,DIRECT,1.9318,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJqatRyVqtij4RZZjneBXxA_Y,MAISON DU GLAMOUR LADIES BEAUTY SALON,DIRECT,2.0627,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJDUAQUwCvij4RxvPzndlEkBs,TAIF BEAUTY SALON ASHARIJ,DIRECT,2.0708,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJuUBGT9mtij4RX6VbfPTF0gU,HANA ROYAL BEAUTY SALON,DIRECT,2.1883,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJzzbywhyyij4RijXShawdh7I,Amro Ladies Salon,DIRECT,2.195,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJ7S7Bhpetij4RMJrRBcMy2X4,Ella Vera Spa Lounge,DIRECT,2.2155,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJJVYkZ4Kzij4REDyJZyiYQC8,Shouq Beauty Salon,DIRECT,2.334,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJibBV38Gvij4RoFsZ8CCRwPc,King river spa,ADJACENT,2.3824,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,24.2266835,55.6599794,ChIJeyjXNgCvij4R3MKT6a88heY,TAIF BEAUTY SALON ASHARIJ BRANCH ALAIN,DIRECT,2.5623,5.0,Google Places API (New),2026-09-02T15:35:56+00:00
