official_store_id,branch_name,official_address,official_city,official_latitude,official_longitude,google_match_status,google_place_id,google_name,google_address,google_latitude,google_longitude,official_to_google_distance_km,rating,review_count,business_status,primary_type,types,phone,website,google_maps_url,opening_hours,match_note,source,retrieved_at
37,Al Ain,"Villa 14, Hamdan Bin Mohammad St. , Al Markaniyah, Al Ain - Abu Dhabi",Abu Dhabi,24.2412888,55.7409794,MATCHED_KNOWN_PLACE_ID,ChIJaVP-IbGtij4REpj8CjkEfdo,Bedashing Beauty Lounge Al Ain,Villa 18 Hamdan Bin Mohammad St - Al Markaniyah - Muaifaa - Abu Dhabi - United Arab Emirates,24.2266835,55.6599794,8.3721,4.7,1325,OPERATIONAL,beauty_salon,"beauty_salon, point_of_interest, service, establishment",+971 600 560037,http://www.bedashingbeauty.com/,https://maps.google.com/?cid=15743744515401095186&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: 11:00 AM – 9:00 PM | Sunday: 11:00 AM – 9:00 PM,,Google Places API (New),2026-09-02T15:15:30+00:00
30,Al Barsha,"Shop 1,2 - 3 Umm Suqeim St - Al Barsha 2 - Dubai",Dubai,25.1136617,55.2145715,MATCHED_EXISTING_PLACE_ID,ChIJ692_u5NrXz4RTD99fc17TzU,Bedashing Beauty Lounge Al Barsha,"Shop 1,2 - 3 Umm Suqeim St - Al Barsha Second - Al Barsha - Dubai - United Arab Emirates",25.1131451,55.2156092,0.1192,4.6,742,OPERATIONAL,beauty_salon,"beauty_salon, service, point_of_interest, establishment",+971 600 560037,https://www.bedashingbeauty.com/,https://maps.google.com/?cid=3841425129674194764&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: 11:00 AM – 9:00 PM | Sunday: 11:00 AM – 9:00 PM,,Google Places API (New),2026-09-02T15:15:30+00:00
46,Al Dhafra Branch,"Al Dhafra Walk, Liwa - Tarif Rd - Zayed City - Abu Dhabi",Abu Dhabi,23.628053,53.714108,MATCHED_EXISTING_PLACE_ID,ChIJNxX7ddBnZz4RvodXaYBSH6Q,Bedashing Beauty Lounge - Al Dhafra,Al Dhafra Walk - Liwa - Tarif Rd - Madinat Za'id - Commercial Area - Abu Dhabi - United Arab Emirates,23.628052399999998,53.7141144,0.0007,4.5,358,OPERATIONAL,beauty_salon,"beauty_salon, service, point_of_interest, establishment",+971 600 560037,https://www.bedashingbeauty.com/,https://maps.google.com/?cid=11826261857974847422&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: 11:00 AM – 9:00 PM | Sunday: 11:00 AM – 9:00 PM,,Google Places API (New),2026-09-02T15:15:30+00:00
39,Al Falah,"Al Falah Village 4, 1D Branch, Abu Dhabi",Abu Dhabi,24.4583082,54.73979970000001,MATCHED_NEW_SEARCH,ChIJhST-PqhLXj4R4Ns1HCNIcjA,Bedashing Beauty Lounge Al Falah,Abu Dhabi - Al Falah - 1D - Abu Dhabi - United Arab Emirates,24.442893899999998,54.7396974,1.714,4.6,948,OPERATIONAL,beauty_salon,"beauty_salon, point_of_interest, service, establishment",+971 600 560037,http://www.bedashingbeauty.com/,https://maps.google.com/?cid=3490931976799902688&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 10:00 AM – 9:00 PM | Tuesday: 10:00 AM – 9:00 PM | Wednesday: 10:00 AM – 9:00 PM | Thursday: 10:00 AM – 9:00 PM | Friday: 10:00 AM – 9:00 PM | Saturday: 10:00 AM – 9:00 PM | Sunday: 10:00 AM – 9:00 PM,,Google Places API (New),2026-09-02T15:15:30+00:00
50,Al Jada,"Shop No. M-18, Misk 2, Muwaileh Trading, Sharjah",Sharjah,25.3192517,55.4795822,MATCHED_EXISTING_PLACE_ID,ChIJYcoAMNNfXz4RhygkXYRIdZk,Bedashing Beauty Lounge Al Jada,Misk 2 Muwaileh Trading - Shop No. M-18 - Muwaileh Commercial - Sharjah - United Arab Emirates,25.319209599999997,55.4799114,0.0334,4.5,613,OPERATIONAL,beauty_salon,"beauty_salon, service, point_of_interest, establishment",+971 600 560037,http://www.bedashingbeauty.com/,https://maps.google.com/?cid=11057824193413654663&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Monday: 10:00 AM – 9:00 PM | Tuesday: 10:00 AM – 9:00 PM | Wednesday: 10:00 AM – 9:00 PM | Thursday: 10:00 AM – 9:00 PM | Friday: 10:00 AM – 9:00 PM | Saturday: 10:00 AM – 9:00 PM | Sunday: 10:00 AM – 9:00 PM,,Google Places API (New),2026-09-02T15:15:30+00:00
45,Al Maqta,Opposite Fairmont Bab Al Bahr - Villa number: 31 - 2 Al Khor St - Al Maqta' - Abu Dhabi,Abu Dhabi,24.4151334,54.4903463,MATCHED_EXISTING_PLACE_ID,ChIJIcgTO9ZDXj4RbWXJ_yrpjuM,Bedashing Beauty Lounge Al Maqta,Villa number: 31 - opposite Fairmont Bab Al Bahr - 2 شارع حمد محمد ثاني الرميثي - ربدان - ربدان 2 - أبو ظبي - United Arab Emirates,24.4130516,54.492955599999995,0.3513,4.6,1288,OPERATIONAL,beauty_salon,"beauty_salon, point_of_interest, service, establishment",+971 600 560037,https://www.bedashingbeauty.com/,https://maps.google.com/?cid=16397299664191841645&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: 11:00 AM – 9:00 PM | Sunday: 11:00 AM – 9:00 PM,,Google Places API (New),2026-09-02T15:15:30+00:00
51,Al Taif Mall,"Shop: G/F 13, Al Taif Mall, Al Taif Mall, Fujairah.",Fujairah,25.1203258,56.32583349999999,MATCHED_EXISTING_PLACE_ID,ChIJ0ePl4Sz59D4RPDea70PHVSs,Bedashing Beauty Lounge Al Taif Mall,Bedashing Beauty Lounge – Taif Mall Fujairah Al Taif Mall Shop: G/F 13 - مركز مدينة الفجيرة - إمارة الفجيرة - United Arab Emirates,25.120260599999998,56.3253503,0.0492,4.7,495,OPERATIONAL,beauty_salon,"beauty_salon, service, point_of_interest, establishment",+971 600 560037,http://www.bedashingbeauty.com/,https://maps.google.com/?cid=3122621011247904572&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Monday: 12:00 – 9:00 PM | Tuesday: 12:00 – 9:00 PM | Wednesday: 12:00 – 9:00 PM | Thursday: 12:00 – 9:00 PM | Friday: 12:00 – 9:00 PM | Saturday: 12:00 – 9:00 PM | Sunday: 12:00 – 9:00 PM,,Google Places API (New),2026-09-02T15:15:30+00:00
36,Baniyas,"Villa D, Baniyas East 8, Opposite to Lulu Hypermarket, Abu Dhabi.",Abu Dhabi,24.3063204,54.6109348,MATCHED_NEW_SEARCH,ChIJ5ch6Hag3Xj4RlU_4s1p7o8s,Bedashing Beauty Lounge Baniyas,Villa 4 Number 22 - Al Suqa Street - Bani Yas - Baniyas East - Abu Dhabi - United Arab Emirates,24.2973631,54.6332474,2.4708,4.6,693,OPERATIONAL,beauty_salon,"beauty_salon, point_of_interest, service, establishment",+971 600 560037,http://www.bedashingbeauty.com/,https://maps.google.com/?cid=14673707640399875989&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: 11:00 AM – 9:00 PM | Sunday: 11:00 AM – 9:00 PM,,Google Places API (New),2026-09-02T15:15:30+00:00
28,City Walk,"18A-06 Al Raha Street, City Walk",Dubai,25.201991012471893,55.26383744697417,MATCHED_EXISTING_PLACE_ID,ChIJgarf82RCXz4Rk5W7_Oh9ZCM,Bedashing Beauty Lounge City Walk,City Walk Dubai - Dubai - الوصل - دبي - United Arab Emirates,25.2019849,55.2638147,0.0024,4.6,855,OPERATIONAL,beauty_salon,"beauty_salon, service, point_of_interest, establishment",+971 600 560037,http://www.bedashingbeauty.com/,https://maps.google.com/?cid=2550301728624579987&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Monday: 10:00 AM – 9:00 PM | Tuesday: 10:00 AM – 9:00 PM | Wednesday: 10:00 AM – 9:00 PM | Thursday: 10:00 AM – 9:00 PM | Friday: 10:00 AM – 9:00 PM | Saturday: 10:00 AM – 9:00 PM | Sunday: 10:00 AM – 9:00 PM,,Google Places API (New),2026-09-02T15:15:30+00:00
38,Delma,"Shop 1 & 2 Kim Tower, Delma St (Al Nahayan Area), Abu Dhabi, UAE",Abu Dhabi,24.4724285,54.3924925,MATCHED_EXISTING_PLACE_ID,ChIJ_Vu7UilmXj4R0AsGTzHwkaU,Bedashing Beauty Lounge Delma,"Shop 1 & 2, Kim Tower - Delma Street - behind Trans Ad Building - Al Nahyan Area - E25 - Abu Dhabi - United Arab Emirates",24.467954,54.384779599999995,0.9257,4.6,671,OPERATIONAL,beauty_salon,"beauty_salon, service, point_of_interest, establishment",+971 600 560037,http://www.bedashingbeauty.com/,https://maps.google.com/?cid=11930580982451014608&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: 11:00 AM – 9:00 PM | Sunday: 11:00 AM – 9:00 PM,,Google Places API (New),2026-09-02T15:15:30+00:00
32,Jumeirah Park,"Shop 17 & 18, Jumeirah Park Club House - Jumeirah Park - Dubai",Dubai,25.0410563,55.1644674,MATCHED_EXISTING_PLACE_ID,ChIJ-0P7Jf1tXz4Rje7-0YFcM3Q,Bedashing Beauty Lounge Jumeirah Park,"Shop 17 & 18, Jumeirah Park Club House - الثنيه الخامسة - Jumeirah Park - دبي - United Arab Emirates",25.039154000000003,55.1659736,0.2603,4.8,440,OPERATIONAL,beauty_salon,"beauty_salon, service, point_of_interest, establishment",+971 600 560037,https://bedashingbeauty.com/,https://maps.google.com/?cid=8373137844855565965&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Monday: 10:00 AM – 9:00 PM | Tuesday: 10:00 AM – 9:00 PM | Wednesday: 10:00 AM – 9:00 PM | Thursday: 10:00 AM – 9:00 PM | Friday: 10:00 AM – 9:00 PM | Saturday: 10:00 AM – 9:00 PM | Sunday: 10:00 AM – 9:00 PM,,Google Places API (New),2026-09-02T15:15:30+00:00
