official_store_id,branch_name,google_place_id,sample_position,review_rating,review_text,original_review_text,publish_time,relative_publish_time,author_name,review_url,source,retrieved_at
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,1,2,"I got a gel manicure and pedicure on June 15, but the polish started peeling the very next day. It began with my thumb, then spread to four nails within a few days.

I contacted the salon within 4 days and requested a full removal instead of redoing them, as I didn’t want to spend another 2 hours fixing something that might chip again. They refused.

This was very disappointing. The service was great until there was an issue—then the response completely changed.

For context, I don’t do house chores like dishwashing that could cause early chipping.","I got a gel manicure and pedicure on June 15, but the polish started peeling the very next day. It began with my thumb, then spread to four nails within a few days.

I contacted the salon within 4 days and requested a full removal instead of redoing them, as I didn’t want to spend another 2 hours fixing something that might chip again. They refused.

This was very disappointing. The service was great until there was an issue—then the response completely changed.

For context, I don’t do house chores like dishwashing that could cause early chipping.",2026-06-19T09:33:44.059594894Z,2 months ago,H Webbll,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT25KSFltMHhURmhOTmxaVExXWXRSVTk0YjBGMGVGRRAB!2m1!1s0x3e8aadb121fe5369:0xda7d04390afc9812,Google Places API (New); API returns up to 5 review samples,2026-09-02T15:15:30+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,2,5,"I had such a lovely experience! She did my nails beautifully with so much attention to detail. She was incredibly kind, friendly, and easy to talk to, which made the whole appointment so comfortable. I’m so happy with the results and will definitely be coming back. Highly recommend her!

Her name is GERALDINE 🤍","I had such a lovely experience! She did my nails beautifully with so much attention to detail. She was incredibly kind, friendly, and easy to talk to, which made the whole appointment so comfortable. I’m so happy with the results and will definitely be coming back. Highly recommend her!

Her name is GERALDINE 🤍",2026-06-26T09:13:22.639973978Z,2 months ago,maitha aldhaheri,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT25Wd2RXdDZTSE42ZERCQ0xXRmxNWFpOVkhGeGNGRRAB!2m1!1s0x3e8aadb121fe5369:0xda7d04390afc9812,Google Places API (New); API returns up to 5 review samples,2026-09-02T15:15:30+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,3,5,"Had such a lovely experience💖

Dao and Linh were absolutely amazing. So kind, gentle, and attentive to every detail. They really listened to what I wanted and made sure everything was perfect.

My nails turned out flawless, clean, precise, and beautifully done. I could truly tell they care about their work and their clients.

Highly recommend asking for Dao and Linh if you want perfect nail art and a genuinely pleasant experience.","Had such a lovely experience💖

Dao and Linh were absolutely amazing. So kind, gentle, and attentive to every detail. They really listened to what I wanted and made sure everything was perfect.

My nails turned out flawless, clean, precise, and beautifully done. I could truly tell they care about their work and their clients.

Highly recommend asking for Dao and Linh if you want perfect nail art and a genuinely pleasant experience.",2026-01-25T15:41:12.634453872Z,7 months ago,Mouza Alshamsi,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2tkUWFrc3dTblJ0TURJd1NsaGxOMkZ2WTNadlQzYxAB!2m1!1s0x3e8aadb121fe5369:0xda7d04390afc9812,Google Places API (New); API returns up to 5 review samples,2026-09-02T15:15:30+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,4,5,"⭐️⭐️⭐️⭐️⭐️
I seriously can’t recommend this place enough! Fawziya is AMAZING 🤍 She does my eyebrows, facials, and waxing and she’s always so quick, gentle, and precise. Super friendly, always makes me feel comfortable, and honestly I wouldn’t replace her with anyone, I’d recommend her in a heartbeat!

The staff are all so lovely and welcoming, and I really love how they genuinely try to make life easier for their customers. Every visit is smooth, relaxed, and just a great experience overall. My go-to place every time! 💕","⭐️⭐️⭐️⭐️⭐️
I seriously can’t recommend this place enough! Fawziya is AMAZING 🤍 She does my eyebrows, facials, and waxing and she’s always so quick, gentle, and precise. Super friendly, always makes me feel comfortable, and honestly I wouldn’t replace her with anyone, I’d recommend her in a heartbeat!

The staff are all so lovely and welcoming, and I really love how they genuinely try to make life easier for their customers. Every visit is smooth, relaxed, and just a great experience overall. My go-to place every time! 💕",2025-12-20T08:01:13.162560211Z,8 months ago,Rhand Elkarib,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT25CdWEwSTRRbVZCVkVwYU9EVTNTMm94TkdzemVIYxAB!2m1!1s0x3e8aadb121fe5369:0xda7d04390afc9812,Google Places API (New); API returns up to 5 review samples,2026-09-02T15:15:30+00:00
37,Al Ain,ChIJaVP-IbGtij4REpj8CjkEfdo,5,5,"Absolutely loved my nail extensions 😍✨
The shape, finishing and design turned out so beautiful and clean. The nails look elegant and feel super comfortable too. Staff was friendly and very professional. Highly recommended for anyone who wants pretty and classy nails 💅💕","Absolutely loved my nail extensions 😍✨
The shape, finishing and design turned out so beautiful and clean. The nails look elegant and feel super comfortable too. Staff was friendly and very professional. Highly recommended for anyone who wants pretty and classy nails 💅💕",2026-05-19T18:38:17.176338946Z,3 months ago,puja rwt,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2tKRFlUTjZVeTFqV21Kc05rcFNabFZTTVd4dVFrRRAB!2m1!1s0x3e8aadb121fe5369:0xda7d04390afc9812,Google Places API (New); API returns up to 5 review samples,2026-09-02T15:15:30+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,1,5,"I had a wonderful experience at Bedashing, Al Barsha branch! The salon is very spacious and beautifully designed, with a separate section for hair treatments and dedicated areas for different services. I loved how organized everything was.

They also have a wide variety of nail polish colors, which made it so easy to find exactly what I wanted. The team was ready and welcoming as soon as I confirmed my services which is super efficient and friendly!

Prem Maya did my pedicure and was incredibly professional, precise, and patient. She truly takes her time to ensure everything is perfect.

Rogelyn helped me pick out a nail color and did a fantastic job with the application, precision, and thoughtful tips. She works quickly yet pays attention to every detail.

Overall, a great experience with a talented and kind team, I’ll definitely be returning! ✨","I had a wonderful experience at Bedashing, Al Barsha branch! The salon is very spacious and beautifully designed, with a separate section for hair treatments and dedicated areas for different services. I loved how organized everything was.

They also have a wide variety of nail polish colors, which made it so easy to find exactly what I wanted. The team was ready and welcoming as soon as I confirmed my services which is super efficient and friendly!

Prem Maya did my pedicure and was incredibly professional, precise, and patient. She truly takes her time to ensure everything is perfect.

Rogelyn helped me pick out a nail color and did a fantastic job with the application, precision, and thoughtful tips. She works quickly yet pays attention to every detail.

Overall, a great experience with a talented and kind team, I’ll definitely be returning! ✨",2025-11-01T09:38:16.849145399Z,10 months ago,TRD,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT25ZeVQyaEZNbmc0VW1ObE0xTndhREpaYVVrNWNuYxAB!2m1!1s0x3e5f6b93bbbfddeb:0x354f7bcd7d7d3f4c,Google Places API (New); API returns up to 5 review samples,2026-09-02T15:15:30+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,2,1,"Extremely disappointing experience. I went in for the most basic service possible (just a blowdry) to relax and pamper myself. I naturally have white hair strands, and after I got home, I noticed some of them had literally turned yellow/brassy.

What’s frustrating is that I use heat on my hair almost every single day and this has NEVER happened before. The only difference was my appointment at this salon.

When I contacted them, instead of properly handling the situation or offering any real solution, they immediately became defensive and started blaming me and even blamed an anti-frizz treatment I had done OVER A YEAR AGO. Their “apology” was basically: “this never happened before” and “the technician didn’t use anything.” That’s not accountability. Just because something “never happened before” does not mean it didn’t happen to me. The issue started immediately after my appointment, yet there was zero effort to investigate properly, fix the damage, or make things right.

For a salon that presents itself as high end, the customer service was shockingly dismissive. I left feeling blamed, unheard, and honestly upset over something that should have been a simple relaxing experience.

Would not recommend if you actually care about the condition of your hair or how clients are treated when something goes wrong.","Extremely disappointing experience. I went in for the most basic service possible (just a blowdry) to relax and pamper myself. I naturally have white hair strands, and after I got home, I noticed some of them had literally turned yellow/brassy.

What’s frustrating is that I use heat on my hair almost every single day and this has NEVER happened before. The only difference was my appointment at this salon.

When I contacted them, instead of properly handling the situation or offering any real solution, they immediately became defensive and started blaming me and even blamed an anti-frizz treatment I had done OVER A YEAR AGO. Their “apology” was basically: “this never happened before” and “the technician didn’t use anything.” That’s not accountability. Just because something “never happened before” does not mean it didn’t happen to me. The issue started immediately after my appointment, yet there was zero effort to investigate properly, fix the damage, or make things right.

For a salon that presents itself as high end, the customer service was shockingly dismissive. I left feeling blamed, unheard, and honestly upset over something that should have been a simple relaxing experience.

Would not recommend if you actually care about the condition of your hair or how clients are treated when something goes wrong.",2026-05-22T11:40:03.392999467Z,3 months ago,Basma Alghanim,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT21velpUVTBNM1ZYUjBadWRHRnZaR0V6WDBKR1kxRRAB!2m1!1s0x3e5f6b93bbbfddeb:0x354f7bcd7d7d3f4c,Google Places API (New); API returns up to 5 review samples,2026-09-02T15:15:30+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,3,4,"I had my first visit last week and had a good time. The team were really attentive, offering complimentary drinks and popcorn, which made the whole experience feel welcoming and relaxed. I went for a pedicure this time, but I was especially pleased to see the range of manicures treatments they offer, particularly as I’m not a fan of e-filing.

Bedashing feels like a place that really caters to everyone, especially if you’re more conscious about treatments and nail health.

The space itself is interesting , it can feel a little clinical, with the rows of seats, bright lighting, and lack of music. That said, it didn’t take away from the overall experience, and I’ll definitely be visiting again.","I had my first visit last week and had a good time. The team were really attentive, offering complimentary drinks and popcorn, which made the whole experience feel welcoming and relaxed. I went for a pedicure this time, but I was especially pleased to see the range of manicures treatments they offer, particularly as I’m not a fan of e-filing.

Bedashing feels like a place that really caters to everyone, especially if you’re more conscious about treatments and nail health.

The space itself is interesting , it can feel a little clinical, with the rows of seats, bright lighting, and lack of music. That said, it didn’t take away from the overall experience, and I’ll definitely be visiting again.",2026-05-03T13:48:56.967560530Z,4 months ago,Alicia Eke,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2w5d2JtRjZSbU4yUkRWbGFrTnpYek5qWlVneWVVRRAB!2m1!1s0x3e5f6b93bbbfddeb:0x354f7bcd7d7d3f4c,Google Places API (New); API returns up to 5 review samples,2026-09-02T15:15:30+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,4,5,"Today I visited the Moroccan bath, and it was absolutely wonderful! 🤍 A huge thank you to Samira for her care, kindness, and professionalism. She was so gentle and attentive during the treatment that it brought back childhood memories of being bathed by my mom🤗 Thank you to the entire team for your warm hospitality, attention to detail, and wonderful atmosphere. I will definitely be back!","Today I visited the Moroccan bath, and it was absolutely wonderful! 🤍 A huge thank you to Samira for her care, kindness, and professionalism. She was so gentle and attentive during the treatment that it brought back childhood memories of being bathed by my mom🤗 Thank you to the entire team for your warm hospitality, attention to detail, and wonderful atmosphere. I will definitely be back!",2026-07-11T15:08:57.854908014Z,a month ago,Карина Шкурова,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT25ZNWVFdDRSblZLTm1KNlIzcEpTRjh3Y1RSdFkxRRAB!2m1!1s0x3e5f6b93bbbfddeb:0x354f7bcd7d7d3f4c,Google Places API (New); API returns up to 5 review samples,2026-09-02T15:15:30+00:00
30,Al Barsha,ChIJ692_u5NrXz4RTD99fc17TzU,5,5,"Sameera one of the bestttt lady that doing marocan bath!
Shes sooooo kind and friendly!
Try and enjoy it ! 😋✨✨✨","Sameera one of the bestttt lady that doing marocan bath!
Shes sooooo kind and friendly!
Try and enjoy it ! 😋✨✨✨",2026-05-17T16:46:47.410345574Z,3 months ago,M.,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT25SbGRIcHhORzlRT0Rkd05ETjJSalp6UjNWUmRXYxAB!2m1!1s0x3e5f6b93bbbfddeb:0x354f7bcd7d7d3f4c,Google Places API (New); API returns up to 5 review samples,2026-09-02T15:15:30+00:00
