official_store_id,official_branch_name,official_address,official_city,official_state,official_latitude,official_longitude,official_phone,official_booking_url,google_place_id,google_name,google_address,google_latitude,google_longitude,google_rating,google_review_count,google_business_status,google_primary_type,google_types,google_phone,google_website,google_maps_url,google_opening_hours,name_similarity,coordinate_distance_km,match_score,google_match_status,google_match_note,bedashing_source_url,google_source,retrieved_at
37,Al Ain,"Villa 14, Hamdan Bin Mohammad St. , Al Markaniyah, Al Ain - Abu Dhabi",Abu Dhabi,Abu Dhabi,24.2412888,55.7409794,600 560 037,https://phorest.com/book/salons/dashingalain,,,,,,,,,,,,,,,1.0,8.3721,0.7,NO_CONFIDENT_MATCH,Google coordinate is more than 1.5 km from official coordinate,https://bedashingbeauty.com/lounges/,Google Places API (New),2026-09-02T14:42:08+00:00
30,Al Barsha,"Shop 1,2 - 3 Umm Suqeim St - Al Barsha 2 - Dubai",Dubai,Dubai,25.1136617,55.2145715,600560037,https://phorest.com/book/salons/bedashingalbarsha,ChIJ692_u5NrXz4RTD99fc17TzU,Bedashing Beauty Lounge Al Barsha,"Shop 1,2 - 3 Umm Suqeim St - Al Barsha Second - Al Barsha - Dubai - United Arab Emirates",25.1131451,55.2156092,4.6,742.0,OPERATIONAL,beauty_salon,"beauty_salon, point_of_interest, service, establishment",+971 600 560037,https://www.bedashingbeauty.com/,https://maps.google.com/?cid=3841425129674194764&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 11:00 am – 9:00 pm | Tuesday: 11:00 am – 9:00 pm | Wednesday: 11:00 am – 9:00 pm | Thursday: 11:00 am – 9:00 pm | Friday: 11:00 am – 9:00 pm | Saturday: 11:00 am – 9:00 pm | Sunday: 11:00 am – 9:00 pm,1.0,0.1192,0.9881,MATCHED,,https://bedashingbeauty.com/lounges/,Google Places API (New),2026-09-02T14:42:08+00:00
46,Al Dhafra Branch,"Al Dhafra Walk, Liwa - Tarif Rd - Zayed City - Abu Dhabi",Abu Dhabi,Abu Dhabi,23.628053,53.714108,600 560 037,https://phorest.com/book/salons/bedashingabudhabidhafra,ChIJNxX7ddBnZz4RvodXaYBSH6Q,Bedashing Beauty Lounge - Al Dhafra,Al Dhafra Walk - Liwa - Tarif Rd - Madinat Za'id - Commercial Area - Abu Dhabi - United Arab Emirates,23.628052399999998,53.7141144,4.5,358.0,OPERATIONAL,beauty_salon,"beauty_salon, point_of_interest, service, establishment",+971 600 560037,https://www.bedashingbeauty.com/,https://maps.google.com/?cid=11826261857974847422&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 11:00 am – 9:00 pm | Tuesday: 11:00 am – 9:00 pm | Wednesday: 11:00 am – 9:00 pm | Thursday: 11:00 am – 9:00 pm | Friday: 11:00 am – 9:00 pm | Saturday: 11:00 am – 9:00 pm | Sunday: 11:00 am – 9:00 pm,1.0,0.0007,0.9999,MATCHED,,https://bedashingbeauty.com/lounges/,Google Places API (New),2026-09-02T14:42:08+00:00
39,Al Falah,"Al Falah Village 4, 1D Branch, Abu Dhabi",Abu Dhabi,Abu Dhabi,24.4583082,54.73979970000001,600 560 037,https://phorest.com/book/salons/dashingalfalah,,,,,,,,,,,,,,,1.0,1.714,0.8286,NO_CONFIDENT_MATCH,Google coordinate is more than 1.5 km from official coordinate,https://bedashingbeauty.com/lounges/,Google Places API (New),2026-09-02T14:42:08+00:00
50,Al Jada,"Shop No. M-18, Misk 2, Muwaileh Trading, Sharjah",Sharjah,Sharjah,25.3192517,55.4795822,600 560 037,https://phorest.com/book/salons/bedashingaljada,ChIJYcoAMNNfXz4RhygkXYRIdZk,Bedashing Beauty Lounge Al Jada,Misk 2 Muwaileh Trading - Shop No. M-18 - Muwaileh Commercial - Sharjah - United Arab Emirates,25.319209599999997,55.4799114,4.5,613.0,OPERATIONAL,beauty_salon,"beauty_salon, service, point_of_interest, establishment",+971 600 560037,http://www.bedashingbeauty.com/,https://maps.google.com/?cid=11057824193413654663&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 10:00 am – 9:00 pm | Tuesday: 10:00 am – 9:00 pm | Wednesday: 10:00 am – 9:00 pm | Thursday: 10:00 am – 9:00 pm | Friday: 10:00 am – 9:00 pm | Saturday: 10:00 am – 9:00 pm | Sunday: 10:00 am – 9:00 pm,1.0,0.0334,0.9967,MATCHED,,https://bedashingbeauty.com/lounges/,Google Places API (New),2026-09-02T14:42:08+00:00
45,Al Maqta,Opposite Fairmont Bab Al Bahr - Villa number: 31 - 2 Al Khor St - Al Maqta' - Abu Dhabi,Abu Dhabi,Abu Dhabi,24.4151334,54.4903463,600 560 037,https://phorest.com/book/salons/bedashingabudhabialmaqta,ChIJIcgTO9ZDXj4RbWXJ_yrpjuM,Bedashing Beauty Lounge Al Maqta,Villa number: 31 - opposite Fairmont Bab Al Bahr - 2 شارع حمد محمد ثاني الرميثي - ربدان - ربدان 2 - أبو ظبي - United Arab Emirates,24.4130516,54.492955599999995,4.6,1288.0,OPERATIONAL,beauty_salon,"beauty_salon, point_of_interest, service, establishment",+971 600 560037,https://www.bedashingbeauty.com/,https://maps.google.com/?cid=16397299664191841645&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 11:00 am – 9:00 pm | Tuesday: 11:00 am – 9:00 pm | Wednesday: 11:00 am – 9:00 pm | Thursday: 11:00 am – 9:00 pm | Friday: 11:00 am – 9:00 pm | Saturday: 11:00 am – 9:00 pm | Sunday: 11:00 am – 9:00 pm,1.0,0.3513,0.9649,MATCHED,,https://bedashingbeauty.com/lounges/,Google Places API (New),2026-09-02T14:42:08+00:00
51,Al Taif Mall,"Shop: G/F 13, Al Taif Mall, Al Taif Mall, Fujairah.",Fujairah,Fujairah,25.1203258,56.32583349999999,600 560 037,https://phorest.com/book/salons/bedashingaltaiffujairah,ChIJ0ePl4Sz59D4RPDea70PHVSs,Bedashing Beauty Lounge Al Taif Mall,Bedashing Beauty Lounge – Taif Mall Fujairah Al Taif Mall Shop: G/F 13 - مركز مدينة الفجيرة - إمارة الفجيرة - United Arab Emirates,25.120260599999998,56.3253503,4.7,495.0,OPERATIONAL,beauty_salon,"beauty_salon, point_of_interest, service, establishment",+971 600 560037,http://www.bedashingbeauty.com/,https://maps.google.com/?cid=3122621011247904572&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 12:00 – 9:00 pm | Tuesday: 12:00 – 9:00 pm | Wednesday: 12:00 – 9:00 pm | Thursday: 12:00 – 9:00 pm | Friday: 12:00 – 9:00 pm | Saturday: 12:00 – 9:00 pm | Sunday: 12:00 – 9:00 pm,1.0,0.0492,0.9951,MATCHED,,https://bedashingbeauty.com/lounges/,Google Places API (New),2026-09-02T14:42:08+00:00
36,Baniyas,"Villa D, Baniyas East 8, Opposite to Lulu Hypermarket, Abu Dhabi.",Abu Dhabi,Abu Dhabi,24.3063204,54.6109348,600 560 037,https://phorest.com/book/salons/dashingwestyas,,,,,,,,,,,,,,,1.0,2.4708,0.7529,NO_CONFIDENT_MATCH,Google coordinate is more than 1.5 km from official coordinate,https://bedashingbeauty.com/lounges/,Google Places API (New),2026-09-02T14:42:08+00:00
28,City Walk,"18A-06 Al Raha Street, City Walk",Dubai,,25.201991012471893,55.26383744697417,600560037,https://phorest.com/book/salons/bedashingnailscitywalk2,ChIJgarf82RCXz4Rk5W7_Oh9ZCM,Bedashing Beauty Lounge City Walk,City Walk Dubai - Dubai - الوصل - دبي - United Arab Emirates,25.2019849,55.2638147,4.6,855.0,OPERATIONAL,beauty_salon,"beauty_salon, point_of_interest, service, establishment",+971 600 560037,http://www.bedashingbeauty.com/,https://maps.google.com/?cid=2550301728624579987&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 10:00 am – 9:00 pm | Tuesday: 10:00 am – 9:00 pm | Wednesday: 10:00 am – 9:00 pm | Thursday: 10:00 am – 9:00 pm | Friday: 10:00 am – 9:00 pm | Saturday: 10:00 am – 9:00 pm | Sunday: 10:00 am – 9:00 pm,1.0,0.0024,0.9998,MATCHED,,https://bedashingbeauty.com/lounges/,Google Places API (New),2026-09-02T14:42:08+00:00
38,Delma,"Shop 1 & 2 Kim Tower, Delma St (Al Nahayan Area), Abu Dhabi, UAE",Abu Dhabi,Abu Dhabi,24.4724285,54.3924925,600 560 037,https://phorest.com/book/salons/dashingdelma,ChIJ_Vu7UilmXj4R0AsGTzHwkaU,Bedashing Beauty Lounge Delma,"Shop 1 & 2, Kim Tower - Delma Street - behind Trans Ad Building - Al Nahyan Area - E25 - Abu Dhabi - United Arab Emirates",24.467954,54.384779599999995,4.6,671.0,OPERATIONAL,beauty_salon,"beauty_salon, service, point_of_interest, establishment",+971 600 560037,http://www.bedashingbeauty.com/,https://maps.google.com/?cid=11930580982451014608&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 11:00 am – 9:00 pm | Tuesday: 11:00 am – 9:00 pm | Wednesday: 11:00 am – 9:00 pm | Thursday: 11:00 am – 9:00 pm | Friday: 11:00 am – 9:00 pm | Saturday: 11:00 am – 9:00 pm | Sunday: 11:00 am – 9:00 pm,1.0,0.9257,0.9074,MATCHED,,https://bedashingbeauty.com/lounges/,Google Places API (New),2026-09-02T14:42:08+00:00
