competitor_place_id,competitor_name,included,exclusion_reason
ChIJdeU-c_JlXj4Rki8SWllWktw,InterContinental Abu Dhabi by IHG,True,
ChIJS-V5iO5CXz4RBNn7K8JMwBg,Conrad Dubai,True,
ChIJ7za_SY1FXj4R1gEhQkwqFQU,Hilton Abu Dhabi Yas Island,True,
ChIJjwmGh3xdXz4RkyRUy7IXAAY,InterContinental Dubai Festival City by IHG,True,
ChIJA9g7M45FXj4RgCVL-7Yomi8,Yas Plaza Marina,True,
ChIJa_OlIrxrXz4RwRVPdS8D2yI,Kempinski Hotel Mall of the Emirates,True,
ChIJk9Owd1FmXj4RjsvTFRagkiE,Beach Rotana,True,
ChIJGby4pNtpXz4RBWuG57JncIE,Hilton Dubai Al Habtoor City,True,
ChIJIX9-hZNlXj4RvO2QAgB5g18,Conrad Abu Dhabi Etihad Towers,True,
ChIJW4eo-VFCXz4RieFckb95Wqo,Four Seasons Resort Dubai at Jumeirah Beach,True,
ChIJPdTUEzBoXz4Rrslyy-2ko0s,DoubleTree by Hilton Dubai - Business Bay,True,
ChIJab7Ss8hnXj4Refmx2QNOjl8,GymNation Khalidiyah Mall | Best Gym in Abu Dhabi,False,FITNESS_OR_SPORTS
ChIJ0RRUsr1rXz4RlKp1lR4JqgU,"Hilton Garden Inn Dubai, Mall Avenue",True,
ChIJSxpk35xgXz4RKlZUNi-G1Wo,GymNation Mirdif | Best Gym in Mirdif,False,FITNESS_OR_SPORTS
ChIJbURih5o3Xj4R4qP2Jcu8C8k,Metropolitan Al Mafraq Hotel,True,
ChIJGWg_w4RnXj4R3HppcUwqGYk,GymNation Reem Island | Best Gym in Abu Dhabi,False,FITNESS_OR_SPORTS
ChIJMWoQuStqXz4RojAV94tpCCE,GymNation Al Quoz | Best Gym in Al Quoz,False,FITNESS_OR_SPORTS
ChIJ22xMClVmXj4R1L53MQnc3jM,Four Seasons Hotel Abu Dhabi at Al Maryah Island,True,
ChIJExptfb5rXz4RXgQyomkL6lI,Two Seasons Hotel & Apartments,True,
ChIJtVkyz-ZlXj4ReMihoxjPp7M,"Royal Rose Hotel Abu Dhabi, Curio Collection by Hilton",True,
ChIJ21OyfVRmXj4RVMDJkavATHQ,Rosewood Abu Dhabi,True,
ChIJCS1uoLtDXz4R8xPbD4VJNC8,Nikki Beach Resort & Spa Dubai,True,
ChIJwUxRUHBrXz4RtJtvjg7J4Bw,Naumi Hotel Dubai,True,
ChIJZThe-mBmXj4R0m9t6MKRRVk,Tryp by Wyndham Abu Dhabi,True,
ChIJm8KuZNtpXz4RoA06ag1r5Tw,"Al Habtoor Palace, Preferred Hotels & Resorts",True,
ChIJSRUnWgBpXj4RuS5uvWhvGZk,GymNation Mushrif Mall | Best Gym in Abu Dhabi,False,FITNESS_OR_SPORTS
ChIJlwuS98FFXj4RHlziQizgHi8,"The WB Abu Dhabi, Curio Collection by Hilton",True,
ChIJI6BjaVETXz4RSkZOXGwJiAY,Signature Hotel Apartments & Spa Marina,True,
ChIJRdPrEWFmXj4Rvlnp1T7Lwjo,Corniche Hotel Abu Dhabi,True,
ChIJSZXqIDBDXz4RfFIZDzwAHdU,GymNation Downtown Dubai | Best Gym in Downtown Dubai,False,FITNESS_OR_SPORTS
ChIJ-wBScttpXz4RC_Y8SYLe7VU,Yinyang Connection Spa,True,
ChIJVfpdlgj59D4RVVR6CUwFKpM,DoubleTree by Hilton Fujairah City,True,
ChIJgUmRcNBbXz4RUpGt3JWl9SA,GymNation Mega Mall Men's | Best Gym in Sharjah,False,MEN_OR_BARBER
ChIJAb-qrqF29j4RGV7ZLpJclrc,Ras Al Khaimah Hotel,True,
ChIJxQZIc89fXz4R2nkKCFanbxA,GymNation Al Zahia Ladies | Best Gym in Sharjah,False,FITNESS_OR_SPORTS
ChIJwx_IedtpXz4Rwt7XtQ0r7IU,Al Habtoor City,True,
