official_store_id,branch_name,search_type,radius_meters,results_returned,api_limit_reached,competitors_kept,bedashing_results_excluded,non_operational_excluded,missing_location_excluded,request_status,error,retrieved_at
37,Al Ain,beauty_salon,5000,20,True,19,1,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
37,Al Ain,hair_salon,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
37,Al Ain,nail_salon,5000,8,False,8,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
37,Al Ain,spa,5000,17,False,17,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
30,Al Barsha,beauty_salon,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
30,Al Barsha,hair_salon,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
30,Al Barsha,nail_salon,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
30,Al Barsha,spa,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
46,Al Dhafra Branch,beauty_salon,5000,20,True,19,1,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
46,Al Dhafra Branch,hair_salon,5000,20,True,18,0,2,0,SUCCESS,,2026-09-02T15:22:51+00:00
46,Al Dhafra Branch,nail_salon,5000,4,False,4,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
46,Al Dhafra Branch,spa,5000,7,False,6,0,1,0,SUCCESS,,2026-09-02T15:22:51+00:00
39,Al Falah,beauty_salon,5000,20,True,19,1,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
39,Al Falah,hair_salon,5000,13,False,13,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
39,Al Falah,nail_salon,5000,2,False,2,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
39,Al Falah,spa,5000,6,False,6,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
50,Al Jada,beauty_salon,5000,20,True,19,0,1,0,SUCCESS,,2026-09-02T15:22:51+00:00
50,Al Jada,hair_salon,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
50,Al Jada,nail_salon,5000,20,True,19,0,1,0,SUCCESS,,2026-09-02T15:22:51+00:00
50,Al Jada,spa,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
45,Al Maqta,beauty_salon,5000,20,True,17,2,1,0,SUCCESS,,2026-09-02T15:22:51+00:00
45,Al Maqta,hair_salon,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
45,Al Maqta,nail_salon,5000,19,False,18,0,1,0,SUCCESS,,2026-09-02T15:22:51+00:00
45,Al Maqta,spa,5000,20,True,19,0,1,0,SUCCESS,,2026-09-02T15:22:51+00:00
51,Al Taif Mall,beauty_salon,5000,20,True,19,1,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
51,Al Taif Mall,hair_salon,5000,20,True,18,0,2,0,SUCCESS,,2026-09-02T15:22:51+00:00
51,Al Taif Mall,nail_salon,5000,8,False,8,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
51,Al Taif Mall,spa,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
36,Baniyas,beauty_salon,5000,20,True,19,1,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
36,Baniyas,hair_salon,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
36,Baniyas,nail_salon,5000,6,False,6,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
36,Baniyas,spa,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
28,City Walk,beauty_salon,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
28,City Walk,hair_salon,5000,20,True,19,0,1,0,SUCCESS,,2026-09-02T15:22:51+00:00
28,City Walk,nail_salon,5000,19,False,17,0,2,0,SUCCESS,,2026-09-02T15:22:51+00:00
28,City Walk,spa,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
38,Delma,beauty_salon,5000,20,True,19,1,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
38,Delma,hair_salon,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
38,Delma,nail_salon,5000,20,True,20,0,0,0,SUCCESS,,2026-09-02T15:22:51+00:00
