competitor_place_id,competitor_name,competitor_tier,observed_search_type,primary_type,primary_type_display,types,address,latitude,longitude,rating,review_count,business_status,phone,website,google_maps_url,opening_hours,source,retrieved_at
ChIJdeU-c_JlXj4Rki8SWllWktw,InterContinental Abu Dhabi by IHG,ADJACENT,spa,hotel,Hotel,"hotel, massage_spa, resort_hotel, wedding_venue, convention_center, massage, spa, event_venue, lodging, restaurant, food, point_of_interest, service, establishment",King Abdullah Bin Abdulaziz Al Saud St - Al Bateen - W33 - Abu Dhabi,24.4577346,54.334673900000006,4.8,24729.0,OPERATIONAL,+971 2 666 6888,https://www.ihg.com/intercontinental/hotels/gb/en/abu-dhabi/auhha/hoteldetail?cm_mmc=GoogleMaps-_-IC-_-AE-_-AUHHA,https://maps.google.com/?cid=15893860976707121042&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,Google Places API (New) Nearby Search,2026-09-02T15:22:51+00:00
ChIJS-V5iO5CXz4RBNn7K8JMwBg,Conrad Dubai,ADJACENT,spa,hotel,Hotel,"hotel, banquet_hall, business_center, wedding_venue, spa, lodging, event_venue, service, point_of_interest, establishment",Sheikh Zayed Rd - Trade Center First - Dubai,25.225660299999998,55.2840912,4.7,23856.0,OPERATIONAL,+971 4 444 7444,https://www.hilton.com/en/hotels/dxbcdci-conrad-dubai/?SEO_id=GMB-EMEA-CI-DXBCDCI,https://maps.google.com/?cid=1783509849284008196&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,Google Places API (New) Nearby Search,2026-09-02T15:22:51+00:00
ChIJ7za_SY1FXj4R1gEhQkwqFQU,Hilton Abu Dhabi Yas Island,ADJACENT,spa,resort_hotel,Resort hotel,"resort_hotel, business_center, banquet_hall, wedding_venue, hotel, spa, event_venue, lodging, point_of_interest, service, establishment",Yas Bay - Yas Island - YS2 - Abu Dhabi,24.4594232,54.6011471,4.8,19961.0,OPERATIONAL,+971 2 208 6888,https://www.hilton.com/en/hotels/auhyihi-hilton-abu-dhabi-yas-island/?SEO_id=GMB-EMEA-HI-AUHYIHI,https://maps.google.com/?cid=366245451715903958&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,Google Places API (New) Nearby Search,2026-09-02T15:22:51+00:00
ChIJjwmGh3xdXz4RkyRUy7IXAAY,InterContinental Dubai Festival City by IHG,ADJACENT,spa,hotel,Hotel,"hotel, massage_spa, convention_center, wedding_venue, resort_hotel, spa, massage, lodging, event_venue, service, restaurant, food, point_of_interest, establishment",Po 45777 - Al Wasl - Dubai,25.2048493,55.2707828,4.8,19368.0,OPERATIONAL,+971 4 701 1111,https://www.ihg.com/intercontinental/hotels/gb/en/dubai/dxbhb/hoteldetail?cm_mmc=GoogleMaps-_-IC-_-AE-_-DXBHB,https://maps.google.com/?cid=432371620910474387&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,Google Places API (New) Nearby Search,2026-09-02T15:22:51+00:00
ChIJA9g7M45FXj4RgCVL-7Yomi8,Yas Plaza Marina,ADJACENT,spa,resort_hotel,Resort hotel,"resort_hotel, massage_spa, wedding_venue, hotel, massage, spa, event_venue, lodging, point_of_interest, service, establishment",Marina - Yas Island - Yas Plaza - Abu Dhabi,24.466022799999998,54.5992604,4.7,15346.0,OPERATIONAL,+971 2 656 4444,https://www.ihg.com/spnd/hotels/gb/en/abu-dhabi/auhay/hoteldetail?cm_mmc=GoogleMaps-_-SP-_-AE-_-AUHAY,https://maps.google.com/?cid=3430098832561218944&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,Google Places API (New) Nearby Search,2026-09-02T15:22:51+00:00
ChIJa_OlIrxrXz4RwRVPdS8D2yI,Kempinski Hotel Mall of the Emirates,ADJACENT,spa,hotel,Hotel,"hotel, spanish_restaurant, spa, event_venue, italian_restaurant, european_restaurant, lodging, restaurant, food, point_of_interest, establishment",Mall of The Emirates - Sheikh Zayed Rd - Al Barsha First - Al Barsha - Dubai,25.1187246,55.1975641,4.8,13701.0,OPERATIONAL,+971 4 341 0000,https://www.kempinski.com/en/mall-of-the-emirates?utm_medium=organic&utm_source=google&utm_campaign=KIDXB&utm_content=gmb&source=S308962248,https://maps.google.com/?cid=2511604719555646913&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,Google Places API (New) Nearby Search,2026-09-02T15:22:51+00:00
ChIJk9Owd1FmXj4RjsvTFRagkiE,Beach Rotana,ADJACENT,spa,hotel,Hotel,"hotel, fitness_center, resort_hotel, wedding_venue, gym, fine_dining_restaurant, spa, event_venue, sports_activity_location, lodging, health, restaurant, food, point_of_interest, service, establishment",10th St - Al Zahiyah - E16 01 - Abu Dhabi,24.4946073,54.383796,4.6,12314.0,OPERATIONAL,+971 2 697 9000,https://www.rotana.com/rotanahotelandresorts/unitedarabemirates/abudhabi/beachrotana?utm_source=google&utm_medium=local&utm_campaign=hotel,https://maps.google.com/?cid=2419171966567304078&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,Google Places API (New) Nearby Search,2026-09-02T15:22:51+00:00
ChIJGby4pNtpXz4RBWuG57JncIE,Hilton Dubai Al Habtoor City,ADJACENT,spa,hotel,Hotel,"hotel, banquet_hall, wedding_venue, spa, lodging, event_venue, service, point_of_interest, establishment",Al Habtoor City - Sheikh Zayed Rd - Business Bay - Dubai,25.1844955,55.255257199999996,4.5,11962.0,OPERATIONAL,+971 4 437 3333,https://www.hilton.com/en/hotels/dxbahhi-hilton-dubai-al-habtoor-city/?SEO_id=GMB-EMEA-HI-DXBAHHI,https://maps.google.com/?cid=9327068846370482949&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,Google Places API (New) Nearby Search,2026-09-02T15:22:51+00:00
ChIJIX9-hZNlXj4RvO2QAgB5g18,Conrad Abu Dhabi Etihad Towers,ADJACENT,spa,hotel,Hotel,"hotel, extended_stay_hotel, banquet_hall, wedding_venue, spa, event_venue, lodging, point_of_interest, service, establishment",Corniche St - Al Bateen - W32 - Abu Dhabi,24.4584497,54.322305099999994,4.8,11796.0,OPERATIONAL,+971 2 811 5555,https://www.hilton.com/en/hotels/auhetci-conrad-abu-dhabi-etihad-towers/?SEO_id=GMB-EMEA-CI-AUHETCI,https://maps.google.com/?cid=6882477696502263228&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,Google Places API (New) Nearby Search,2026-09-02T15:22:51+00:00
ChIJW4eo-VFCXz4RieFckb95Wqo,Four Seasons Resort Dubai at Jumeirah Beach,ADJACENT,spa,hotel,Hotel,"hotel, wedding_venue, wellness_center, resort_hotel, spa, extended_stay_hotel, lodging, event_venue, service, health, point_of_interest, establishment",Jumeira St - Jumeira Second - Jumeirah 2 - Dubai,25.202314100000002,55.2402131,4.7,9631.0,OPERATIONAL,+971 4 270 7777,https://www.fourseasons.com/dubaijb/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-bal-hre-mid-seo-na&utm_content=na-na&utm_term=na,https://maps.google.com/?cid=12275257598036205961&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,Google Places API (New) Nearby Search,2026-09-02T15:22:51+00:00
