branch_id,branch_name,official_city,official_address,official_latitude,official_longitude,google_place_id,google_maps_url,branch_rating,branch_review_count,bayesian_adjusted_rating,analysed_review_count,review_sample_coverage,positive_review_count,neutral_review_count,negative_review_count,positive_review_pct,neutral_review_pct,negative_review_pct,review_sentiment_balance,review_sentiment_confidence,catchment_area_km2,observed_direct_competitor_count,observed_direct_density_per_km2,competitor_rating_weighted_by_reviews,branch_rating_gap_vs_competitor_weighted,self_overlap_pct,unique_coverage_pct,customer_signal_score,competitive_position_score,network_value_score,catchment_reach_score,branch_health_score,recommendation,decision_meaning,confidence_score,confidence_level,main_positive_drivers,main_negative_drivers,recommendation_explanation,decision_limitations,source,retrieved_at
37,Al Ain,Abu Dhabi,"Villa 14, Hamdan Bin Mohammad St. , Al Markaniyah, Al Ain - Abu Dhabi",24.2412888,55.7409794,ChIJaVP-IbGtij4REpj8CjkEfdo,https://maps.google.com/?cid=15743744515401095186&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.7,1325,4.67,500,0.38,439,7,54,87.8,1.4,10.8,77.0,HIGH,108.6525,68,0.6258,4.5271,0.1729,0.0,100.0,67.5,75.42,91.67,91.67,79.15,PROTECT,Strong external-market and network-value signal; prioritize retention.,80,HIGH,unique network coverage (+12.5); position versus local competitors (+6.4),no material below-network signal,PROTECT: strongest evidence is unique network coverage (+12.5); position versus local competitors (+6.4).,"External-market decision support only. Revenue, profit, rent, utilization, customer origins and exhaustive competitor census are unavailable.",Google Places API (New),2026-09-02T15:15:30+00:00
48,Ras Al Khaimah,Ras Al Khaimah.,"Villa 3, Sheikh Rashid Bin Saeed Al Maktoum Rd, Beside Al Neem City Center, Al Dhaith, Ras Al Khaimah.",25.7554573,55.9095698,ChIJSU1oGll19j4RCktPt_Pr5o0,https://maps.google.com/?cid=10225119435976297226&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.6,769,4.6,500,0.65,447,2,51,89.4,0.4,10.2,79.2,HIGH,82.1295,73,0.8888,4.3543,0.2457,0.0,100.0,51.46,76.25,91.67,70.83,71.66,PROTECT,Strong external-market and network-value signal; prioritize retention.,80,HIGH,unique network coverage (+12.5); position versus local competitors (+6.6),no material below-network signal,PROTECT: strongest evidence is unique network coverage (+12.5); position versus local competitors (+6.6).,"External-market decision support only. Revenue, profit, rent, utilization, customer origins and exhaustive competitor census are unavailable.",Google Places API (New),2026-09-02T15:15:30+00:00
51,Al Taif Mall,Fujairah,"Shop: G/F 13, Al Taif Mall, Al Taif Mall, Fujairah.",25.1203258,56.32583349999999,ChIJ0ePl4Sz59D4RPDea70PHVSs,https://maps.google.com/?cid=3122621011247904572&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.7,495,4.64,495,1.0,456,3,36,92.12,0.61,7.27,84.85,HIGH,59.8072,130,2.1737,4.5348,0.1652,0.0,100.0,75.73,42.29,91.67,29.17,67.49,PROTECT,Strong external-market and network-value signal; prioritize retention.,80,HIGH,unique network coverage (+12.5); customer review signal (+9.0),10-minute catchment reach (-2.1); position versus local competitors (-1.9),PROTECT: strongest evidence is unique network coverage (+12.5); customer review signal (+9.0).,"External-market decision support only. Revenue, profit, rent, utilization, customer origins and exhaustive competitor census are unavailable.",Google Places API (New),2026-09-02T15:15:30+00:00
39,Al Falah,Abu Dhabi,"Al Falah Village 4, 1D Branch, Abu Dhabi",24.4583082,54.73979970000001,ChIJhST-PqhLXj4R4Ns1HCNIcjA,https://maps.google.com/?cid=3490931976799902688&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.6,948,4.6,500,0.53,453,10,37,90.6,2.0,7.4,83.2,HIGH,34.8696,37,1.0611,4.2132,0.3868,0.0,100.0,48.75,81.04,91.67,12.5,66.07,PROTECT,Strong external-market and network-value signal; prioritize retention.,80,HIGH,unique network coverage (+12.5); position versus local competitors (+7.8),10-minute catchment reach (-3.8); customer review signal (-0.4),PROTECT: strongest evidence is unique network coverage (+12.5); position versus local competitors (+7.8).,"External-market decision support only. Revenue, profit, rent, utilization, customer origins and exhaustive competitor census are unavailable.",Google Places API (New),2026-09-02T15:15:30+00:00
46,Al Dhafra Branch,Abu Dhabi,"Al Dhafra Walk, Liwa - Tarif Rd - Zayed City - Abu Dhabi",23.628053,53.714108,ChIJNxX7ddBnZz4RvodXaYBSH6Q,https://maps.google.com/?cid=11826261857974847422&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.5,358,4.57,358,1.0,315,2,41,87.99,0.56,11.45,76.54,HIGH,69.9281,26,0.3718,4.2465,0.2535,0.0,100.0,26.77,89.17,91.67,54.17,64.58,PROTECT,Strong external-market and network-value signal; prioritize retention.,80,HIGH,unique network coverage (+12.5); position versus local competitors (+9.8),customer review signal (-8.1),PROTECT: strongest evidence is unique network coverage (+12.5); position versus local competitors (+9.8).,"External-market decision support only. Revenue, profit, rent, utilization, customer origins and exhaustive competitor census are unavailable.",Google Places API (New),2026-09-02T15:15:30+00:00
49,Zawaya Walk,Sharjah,Shop 32 & 33 - Zawaya Walk - University City Rd - Al Shahba - Sharjah,25.3306234,55.4294728,ChIJNY29cDNZXz4RT5H-KSCWfCo,https://maps.google.com/?cid=3061486911592763727&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.7,601,4.65,500,0.83,456,6,38,91.2,1.2,7.6,83.6,HIGH,114.6085,212,1.8498,4.5257,0.1743,48.2811,51.7189,79.79,51.88,45.83,95.83,64.23,PROTECT,Strong external-market and network-value signal; prioritize retention.,80,HIGH,customer review signal (+10.4); 10-minute catchment reach (+4.6),unique network coverage (-1.3),PROTECT: strongest evidence is customer review signal (+10.4); 10-minute catchment reach (+4.6).,"External-market decision support only. Revenue, profit, rent, utilization, customer origins and exhaustive competitor census are unavailable.",Google Places API (New),2026-09-02T15:15:30+00:00
35,Shahama,Abu Dhabi,"Abu Dhabi – Al Shahama Rd , Abu Dhabi",24.4317088,54.5521412,ChIJh9wAonFPXj4R6P2_rlevv90,https://maps.google.com/?cid=15978682794062642664&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.6,746,4.6,500,0.67,441,8,51,88.2,1.6,10.2,78.0,HIGH,61.6852,55,0.8916,4.257,0.343,10.9414,89.0586,52.08,85.62,66.67,33.33,62.97,PROTECT,Strong external-market and network-value signal; prioritize retention.,80,HIGH,position versus local competitors (+8.9); unique network coverage (+5.0),10-minute catchment reach (-1.7),PROTECT: strongest evidence is position versus local competitors (+8.9); unique network coverage (+5.0).,"External-market decision support only. Revenue, profit, rent, utilization, customer origins and exhaustive competitor census are unavailable.",Google Places API (New),2026-09-02T15:15:30+00:00
31,Nad Al Sheba,Dubai,"Nad Al Sheba Mall, Nad Al Sheba 3 - Dubai, Shop No. L2-048 - Dubai",25.2004324,55.3862638,ChIJR6DuRulnXz4RsewBFpNYmzQ,https://maps.google.com/?cid=3790720900115066033&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.6,627,4.6,500,0.8,438,12,50,87.6,2.4,10.0,77.6,HIGH,69.8739,52,0.7442,4.6244,-0.0244,7.2871,92.7129,61.98,48.12,75.0,50.0,61.22,HOLD,Maintain and monitor; evidence is mixed or not decisive.,80,HIGH,unique network coverage (+7.5); customer review signal (+4.2),position versus local competitors (-0.5),HOLD: evidence is mixed. Strengths: unique network coverage (+7.5); customer review signal (+4.2). Constraints: position versus local competitors (-0.5).,"External-market decision support only. Revenue, profit, rent, utilization, customer origins and exhaustive competitor census are unavailable.",Google Places API (New),2026-09-02T15:15:30+00:00
32,Jumeirah Park,Dubai,"Shop 17 & 18, Jumeirah Park Club House - Jumeirah Park - Dubai",25.0410563,55.1644674,ChIJ-0P7Jf1tXz4Rje7-0YFcM3Q,https://maps.google.com/?cid=8373137844855565965&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.8,440,4.68,440,1.0,417,4,19,94.77,0.91,4.32,90.45,HIGH,56.2511,85,1.5111,4.642,0.158,17.1751,82.8249,83.85,46.88,58.33,20.83,60.65,HOLD,Maintain and monitor; evidence is mixed or not decisive.,80,HIGH,customer review signal (+11.8); unique network coverage (+2.5),10-minute catchment reach (-2.9); position versus local competitors (-0.8),HOLD: evidence is mixed. Strengths: customer review signal (+11.8); unique network coverage (+2.5). Constraints: 10-minute catchment reach (-2.9); position versus local competitors (-0.8).,"External-market decision support only. Revenue, profit, rent, utilization, customer origins and exhaustive competitor census are unavailable.",Google Places API (New),2026-09-02T15:15:30+00:00
36,Baniyas,Abu Dhabi,"Villa D, Baniyas East 8, Opposite to Lulu Hypermarket, Abu Dhabi.",24.3063204,54.6109348,ChIJ5ch6Hag3Xj4RlU_4s1p7o8s,https://maps.google.com/?cid=14673707640399875989&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.6,693,4.6,500,0.72,435,9,56,87.0,1.8,11.2,75.8,HIGH,102.2855,66,0.6453,4.2857,0.3143,52.6276,47.3724,50.83,87.5,37.5,87.5,59.67,HOLD,Maintain and monitor; evidence is mixed or not decisive.,80,HIGH,position versus local competitors (+9.4); 10-minute catchment reach (+3.8),unique network coverage (-3.8),HOLD: evidence is mixed. Strengths: position versus local competitors (+9.4); 10-minute catchment reach (+3.8). Constraints: unique network coverage (-3.8).,"External-market decision support only. Revenue, profit, rent, utilization, customer origins and exhaustive competitor census are unavailable.",Google Places API (New),2026-09-02T15:15:30+00:00
43,Ministries Complex,Abu Dhabi,"Shop No - 3, ICT Building, Khalifa Park (Ministry Area), Beside Union National Bank, Abu Dhabi, UAE",24.4255478,54.4694026,ChIJRfTVvZVDXj4RZZRKmMGM9cs,https://maps.google.com/?cid=14696807722105082981&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.9,1214,4.79,500,0.41,485,2,13,97.0,0.4,2.6,94.4,HIGH,70.6779,113,1.5988,4.5702,0.3298,95.045,4.955,91.25,68.33,12.5,58.33,58.6,HOLD,Maintain and monitor; evidence is mixed or not decisive.,80,HIGH,customer review signal (+14.4); position versus local competitors (+4.6),unique network coverage (-11.2),HOLD: evidence is mixed. Strengths: customer review signal (+14.4); position versus local competitors (+4.6). Constraints: unique network coverage (-11.2).,"External-market decision support only. Revenue, profit, rent, utilization, customer origins and exhaustive competitor census are unavailable.",Google Places API (New),2026-09-02T15:15:30+00:00
30,Al Barsha,Dubai,"Shop 1,2 - 3 Umm Suqeim St - Al Barsha 2 - Dubai",25.1136617,55.2145715,ChIJ692_u5NrXz4RTD99fc17TzU,https://maps.google.com/?cid=3841425129674194764&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.6,742,4.6,500,0.67,440,8,52,88.0,1.6,10.4,77.6,HIGH,93.2974,230,2.4652,4.604,-0.004,15.0247,84.9753,51.15,30.0,62.5,83.33,52.48,HOLD,Maintain and monitor; evidence is mixed or not decisive.,80,HIGH,unique network coverage (+3.8); 10-minute catchment reach (+3.3),position versus local competitors (-5.0),HOLD: evidence is mixed. Strengths: unique network coverage (+3.8); 10-minute catchment reach (+3.3). Constraints: position versus local competitors (-5.0).,"External-market decision support only. Revenue, profit, rent, utilization, customer origins and exhaustive competitor census are unavailable.",Google Places API (New),2026-09-02T15:15:30+00:00
42,Shakhbout City,Abu Dhabi,"Bedashing Beauty Lounge, Shakhbout City 3, Abu Dhabi, UAE",24.3481854,54.6238561,ChIJDbcz2A9tXz4RnqvVPtIP15c,https://maps.google.com/?cid=10941231215391648670&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.5,1267,4.54,500,0.39,422,13,65,84.4,2.6,13.0,71.4,HIGH,129.9432,70,0.5387,4.3087,0.1913,41.1059,58.8941,17.71,82.29,50.0,100.0,51.77,HOLD,Maintain and monitor; evidence is mixed or not decisive.,80,HIGH,position versus local competitors (+8.1); 10-minute catchment reach (+5.0),customer review signal (-11.3),HOLD: evidence is mixed. Strengths: position versus local competitors (+8.1); 10-minute catchment reach (+5.0). Constraints: customer review signal (-11.3).,"External-market decision support only. Revenue, profit, rent, utilization, customer origins and exhaustive competitor census are unavailable.",Google Places API (New),2026-09-02T15:15:30+00:00
