"branch_name","google_place_id","review_id","review_text","review_rating","review_date","review_language","reviewer_name","review_url","source_url","retrieved_at"
"Al Barsha","ChIJ692_u5NrXz4RTD99fc17TzU","Ci9DQUlRQUNvZENodHljRjlvT21kallUbEVaa1oxVnpoMVNrbEtaVGhoUVRWNVFuYxAB","I had such a lovely experience with Maryam! I asked for layers and she gave me exactly what I wanted. I absolutely love how my hair turned out, She was also so polite, sweet, and welcoming from the moment I walked in, which made the whole experience even better. I’m really happy with my haircut and would definitely come back.","5","2026-08-31T14:24:14.001Z","en","","","https://www.google.com/maps/search/?api=1&query=Bedashing%20Beauty%20Lounge%20Al%20Barsha&query_place_id=ChIJ692_u5NrXz4RTD99fc17TzU","2026-09-03T06:46:58.333Z"
"Al Barsha","ChIJ692_u5NrXz4RTD99fc17TzU","Ci9DQUlRQUNvZENodHljRjlvT25GME5HZHFTVlJrY2toRU4wWkxlRTlGVHpWSVRVRRAB","Usually use the bedashing lounge in zayed airport .this time i visited al Barsha for cut colour and blow dry..
nice warm welcome at reception ..
Overall Very happy with advice and service I received..
Thank you to the stylist Tharine .

Overall a great experience ..
Would recommend a visit...","5","2026-08-28T07:34:57.554Z","en","","","https://www.google.com/maps/search/?api=1&query=Bedashing%20Beauty%20Lounge%20Al%20Barsha&query_place_id=ChIJ692_u5NrXz4RTD99fc17TzU","2026-09-03T06:46:58.333Z"
"Al Barsha","ChIJ692_u5NrXz4RTD99fc17TzU","ChZDSUhNMG9nS0VJQ0FnSUNEMDctOFlBEAE","خدمة سيئة","1","2026-08-21T14:34:47.834Z","ar","","","https://www.google.com/maps/search/?api=1&query=Bedashing%20Beauty%20Lounge%20Al%20Barsha&query_place_id=ChIJ692_u5NrXz4RTD99fc17TzU","2026-09-03T06:46:58.333Z"
"Al Barsha","ChIJ692_u5NrXz4RTD99fc17TzU","Ci9DQUlRQUNvZENodHljRjlvT25ZME1EUXhWRXQxU1haTWFuSTVkMFk0WDIxbVgyYxAB","I did the bb cream and it’s not my first time it was my fourth actually but my first here and my last , it was the most expensive one as well , which is a bit annoying because you expect the better but no it’s been one month from the treatment and already gone , usually it remains for at least 3 months as it should ! So bb cream is no for me here don’t recommend , and they call you to tell you we can’t do anything for you as well 😂 so why you called ?","1","2026-08-13T10:07:03.902Z","en","","","https://www.google.com/maps/search/?api=1&query=Bedashing%20Beauty%20Lounge%20Al%20Barsha&query_place_id=ChIJ692_u5NrXz4RTD99fc17TzU","2026-09-03T06:46:58.333Z"
"Al Barsha","ChIJ692_u5NrXz4RTD99fc17TzU","Ci9DQUlRQUNvZENodHljRjlvT25ZemVreDRSamxGVFU1RVVsTlphRzQwWWtodVNrRRAB","كانت تجربة جميلة سويت احلى حمام مغربي ومناكير وبدكير روعة المكان نظيف وتعاملهم جدا راقي انصح فيه بشدة","5","2026-07-22T14:21:55.013Z","ar","","","https://www.google.com/maps/search/?api=1&query=Bedashing%20Beauty%20Lounge%20Al%20Barsha&query_place_id=ChIJ692_u5NrXz4RTD99fc17TzU","2026-09-03T06:46:58.333Z"
"Al Barsha","ChIJ692_u5NrXz4RTD99fc17TzU","Ci9DQUlRQUNvZENodHljRjlvT2xoRlFVSTRVVWRGWkV3eU5XSmpjalpqWmxnM1ZHYxAB","First time for me in this saloon,  it looked good place , however, service not good , very very unprofessional, no wonder why it was empty and no customers in.

First of all, I asked call center about the price of blow dry, they gave me a range depending on the length of the hair, when I reached their, the lady started the blow dry and said that this is extra long hair and charged me too much extra amount, ( exceeded the range I was informed on phone).

It was very clear that they have no experience in handling long hair.  Requested cleaner to hold the hair and assist. I felt so uncomfortable, even the way they were staring at the hair and calling each other to look at the hair length was not nice at all and not acceptable.

I went to many different beauty salons, non of them charged me this much and non of them were so surprised looking at the hair length.

Very very unprofessional.","1","2026-07-21T16:55:41.247Z","en","","","https://www.google.com/maps/search/?api=1&query=Bedashing%20Beauty%20Lounge%20Al%20Barsha&query_place_id=ChIJ692_u5NrXz4RTD99fc17TzU","2026-09-03T06:46:58.333Z"
"Al Barsha","ChIJ692_u5NrXz4RTD99fc17TzU","Ci9DQUlRQUNvZENodHljRjlvT2xWQ1h6VjBiVVV3TWpCUE1Ua3lNVU5RTkRkUkxWRRAB","","5","2026-07-20T00:49:32.230Z","en","","","https://www.google.com/maps/search/?api=1&query=Bedashing%20Beauty%20Lounge%20Al%20Barsha&query_place_id=ChIJ692_u5NrXz4RTD99fc17TzU","2026-09-03T06:46:58.333Z"
"Al Barsha","ChIJ692_u5NrXz4RTD99fc17TzU","Ci9DQUlRQUNvZENodHljRjlvT25vdFZVdzNVVXhEUTBwdGFqUndPV1JDVlRoME1uYxAB","","5","2026-07-17T14:27:52.248Z","en","","","https://www.google.com/maps/search/?api=1&query=Bedashing%20Beauty%20Lounge%20Al%20Barsha&query_place_id=ChIJ692_u5NrXz4RTD99fc17TzU","2026-09-03T06:46:58.333Z"
"Al Barsha","ChIJ692_u5NrXz4RTD99fc17TzU","Ci9DQUlRQUNvZENodHljRjlvT25ZNWVFdDRSblZLTm1KNlIzcEpTRjh3Y1RSdFkxRRAB","Today I visited the Moroccan bath, and it was absolutely wonderful! 🤍 A huge thank you to Samira for her care, kindness, and professionalism. She was so gentle and attentive during the treatment that it brought back childhood memories of being bathed by my mom🤗 Thank you to the entire team for your warm hospitality, attention to detail, and wonderful atmosphere. I will definitely be back!","5","2026-07-11T15:08:57.854Z","en","","","https://www.google.com/maps/search/?api=1&query=Bedashing%20Beauty%20Lounge%20Al%20Barsha&query_place_id=ChIJ692_u5NrXz4RTD99fc17TzU","2026-09-03T06:46:58.333Z"
"Al Barsha","ChIJ692_u5NrXz4RTD99fc17TzU","ChZDSUhNMG9nS0VJQ0FnSURHXzd1UldBEAE","They are not organized i .. the manager promised to send someone for manicure service and i am waiting since 20 mins but no one is here yet and she is ignoring when i follow up this unacceptable i have another
appointment and i need to leave","1","2026-07-03T14:09:20.253Z","en","","","https://www.google.com/maps/search/?api=1&query=Bedashing%20Beauty%20Lounge%20Al%20Barsha&query_place_id=ChIJ692_u5NrXz4RTD99fc17TzU","2026-09-03T06:46:58.333Z"
